orth,phon,syllables
long,"['L', 'AO1', 'NG']",1
off,"['AO1', 'F']",1
dog,"['D', 'AO1', 'G']",1
look,"['L', 'UH1', 'K']",1
thought,"['TH', 'AO1', 'T']",1
going,"['G', 'OW1', 'IH0', 'NG']",2
looked,"['L', 'UH1', 'K', 'T']",1
never,"['N', 'EH1', 'V', 'ER0']",2
again,"['AH0', 'G', 'EH1', 'N']",2
through,"['TH', 'R', 'UW1']",1
tree,"['T', 'R', 'IY1']",1
am,"['AE1', 'M']",1
our,"['AW1', 'ER0']",2
red,"['R', 'EH1', 'D']",1
made,"['M', 'EY1', 'D']",1
say,"['S', 'EY1']",1
put,"['P', 'UH1', 'T']",1
after,"['AE1', 'F', 'T', 'ER0']",2
new,"['N', 'UW1']",1
says,"['S', 'EH1', 'Z']",1
man,"['M', 'AE1', 'N']",1
around,"['ER0', 'AW1', 'N', 'D']",2
things,"['TH', 'IH1', 'NG', 'Z']",1
baby,"['B', 'EY1', 'B', 'IY0']",2
asked,"['AE1', 'S', 'K', 'T']",1
us,"['AH1', 'S']",1
want,"['W', 'AA1', 'N', 'T']",1
other,"['AH1', 'DH', 'ER0']",2
bear,"['B', 'EH1', 'R']",1
has,"['HH', 'AE1', 'Z']",1
take,"['T', 'EY1', 'K']",1
three,"['TH', 'R', 'IY1']",1
bed,"['B', 'EH1', 'D']",1
saw,"['S', 'AO1']",1
train,"['T', 'R', 'EY1', 'N']",1
why,"['W', 'AY1']",1
story,"['S', 'T', 'AO1', 'R', 'IY0']",2
help,"['HH', 'EH1', 'L', 'P']",1
thing,"['TH', 'IH1', 'NG']",1
blue,"['B', 'L', 'UW1']",1
tell,"['T', 'EH1', 'L']",1
eat,"['IY1', 'T']",1
really,"['R', 'IH1', 'L', 'IY0']",2
ran,"['R', 'AE1', 'N']",1
next,"['N', 'EH1', 'K', 'S', 'T']",1
mama,"['M', 'AA1', 'M', 'AH0']",2
took,"['T', 'UH1', 'K']",1
must,"['M', 'AH1', 'S', 'T']",1
pete,"['P', 'IY1', 'T']",1
door,"['D', 'AO1', 'R']",1
green,"['G', 'R', 'IY1', 'N']",1
cant,"['K', 'AE1', 'N', 'T']",1
everyone,"['EH1', 'V', 'R', 'IY0', 'W', 'AH2', 'N']",3
george,"['JH', 'AO1', 'R', 'JH']",1
thomas,"['T', 'AA1', 'M', 'AH0', 'S']",2
even,"['IY1', 'V', 'IH0', 'N']",2
along,"['AH0', 'L', 'AO1', 'NG']",2
play,"['P', 'L', 'EY1']",1
morning,"['M', 'AO1', 'R', 'N', 'IH0', 'NG']",2
called,"['K', 'AO1', 'L', 'D']",1
ever,"['EH1', 'V', 'ER0']",2
first,"['F', 'ER1', 'S', 'T']",1
school,"['S', 'K', 'UW1', 'L']",1
still,"['S', 'T', 'IH1', 'L']",1
find,"['F', 'AY1', 'N', 'D']",1
head,"['HH', 'EH1', 'D']",1
miss,"['M', 'IH1', 'S']",1
always,"['AO1', 'L', 'W', 'EY2', 'Z']",2
only,"['OW1', 'N', 'L', 'IY0']",2
boy,"['B', 'OY1']",1
great,"['G', 'R', 'EY1', 'T']",1
before,"['B', 'IH0', 'F', 'AO1', 'R']",2
much,"['M', 'AH1', 'CH']",1
please,"['P', 'L', 'IY1', 'Z']",1
cried,"['K', 'R', 'AY1', 'D']",1
stop,"['S', 'T', 'AA1', 'P']",1
because,"['B', 'IH0', 'K', 'AO1', 'Z']",2
snow,"['S', 'N', 'OW1']",1
car,"['K', 'AA1', 'R']",1
toad,"['T', 'OW1', 'D']",1
truck,"['T', 'R', 'AH1', 'K']",1
found,"['F', 'AW1', 'N', 'D']",1
once,"['W', 'AH1', 'N', 'S']",1
small,"['S', 'M', 'AO1', 'L']",1
let,"['L', 'EH1', 'T']",1
fish,"['F', 'IH1', 'SH']",1
frog,"['F', 'R', 'AA1', 'G']",1
mouse,"['M', 'AW1', 'S']",1
sat,"['S', 'AE1', 'T']",1
hat,"['HH', 'AE1', 'T']",1
hear,"['HH', 'IY1', 'R']",1
left,"['L', 'EH1', 'F', 'T']",1
captain,"['K', 'AE1', 'P', 'T', 'AH0', 'N']",2
dogs,"['D', 'AA1', 'G', 'Z']",1
last,"['L', 'AE1', 'S', 'T']",1
every,"['EH1', 'V', 'ER0', 'IY0']",3
another,"['AH0', 'N', 'AH1', 'DH', 'ER0']",3
been,"['B', 'IH1', 'N']",1
bird,"['B', 'ER1', 'D']",1
dear,"['D', 'IH1', 'R']",1
fast,"['F', 'AE1', 'S', 'T']",1
sleep,"['S', 'L', 'IY1', 'P']",1
water,"['W', 'AO1', 'T', 'ER0']",2
soon,"['S', 'UW1', 'N']",1
dance,"['D', 'AE1', 'N', 'S']",1
feet,"['F', 'IY1', 'T']",1
cats,"['K', 'AE1', 'T', 'S']",1
heard,"['HH', 'ER1', 'D']",1
town,"['T', 'AW1', 'N']",1
should,"['SH', 'UH1', 'D']",1
bus,"['B', 'AH1', 'S']",1
walked,"['W', 'AO1', 'K', 'T']",1
ate,"['EY1', 'T']",1
eyes,"['AY1', 'Z']",1
best,"['B', 'EH1', 'S', 'T']",1
sky,"['S', 'K', 'AY1']",1
than,"['DH', 'AE1', 'N']",1
under,"['AH1', 'N', 'D', 'ER0']",2
give,"['G', 'IH1', 'V']",1
name,"['N', 'EY1', 'M']",1
any,"['EH1', 'N', 'IY0']",2
does,"['D', 'AH1', 'Z']",1
place,"['P', 'L', 'EY1', 'S']",1
while,"['W', 'AY1', 'L']",1
people,"['P', 'IY1', 'P', 'AH0', 'L']",2
run,"['R', 'AH1', 'N']",1
gave,"['G', 'EY1', 'V']",1
yes,"['Y', 'EH1', 'S']",1
balloon,"['B', 'AH0', 'L', 'UW1', 'N']",2
black,"['B', 'L', 'AE1', 'K']",1
friend,"['F', 'R', 'EH1', 'N', 'D']",1
sun,"['S', 'AH1', 'N']",1
until,"['AH0', 'N', 'T', 'IH1', 'L']",2
world,"['W', 'ER1', 'L', 'D']",1
each,"['IY1', 'CH']",1
high,"['HH', 'AY1']",1
many,"['M', 'EH1', 'N', 'IY0']",2
those,"['DH', 'OW1', 'Z']",1
behind,"['B', 'IH0', 'HH', 'AY1', 'N', 'D']",2
friends,"['F', 'R', 'EH1', 'N', 'D', 'Z']",1
happy,"['HH', 'AE1', 'P', 'IY0']",2
may,"['M', 'EY1']",1
white,"['W', 'AY1', 'T']",1
top,"['T', 'AA1', 'P']",1
wanted,"['W', 'AA1', 'N', 'T', 'AH0', 'D']",2
flew,"['F', 'L', 'UW1']",1
started,"['S', 'T', 'AA1', 'R', 'T', 'AH0', 'D']",2
moon,"['M', 'UW1', 'N']",1
nice,"['N', 'AY1', 'S']",1
told,"['T', 'OW1', 'L', 'D']",1
began,"['B', 'IH0', 'G', 'AE1', 'N']",2
edward,"['EH1', 'D', 'W', 'ER0', 'D']",2
end,"['EH1', 'N', 'D']",1
wish,"['W', 'IH1', 'SH']",1
woman,"['W', 'UH1', 'M', 'AH0', 'N']",2
yellow,"['Y', 'EH1', 'L', 'OW0']",2
box,"['B', 'AA1', 'K', 'S']",1
children,"['CH', 'IH1', 'L', 'D', 'R', 'AH0', 'N']",2
cold,"['K', 'OW1', 'L', 'D']",1
round,"['R', 'AW1', 'N', 'D']",1
sure,"['SH', 'UH1', 'R']",1
fly,"['F', 'L', 'AY1']",1
mrs,"['M', 'IH1', 'S', 'IH0', 'Z']",2
nose,"['N', 'OW1', 'Z']",1
dark,"['D', 'AA1', 'R', 'K']",1
fell,"['F', 'EH1', 'L']",1
shall,"['SH', 'AE1', 'L']",1
fun,"['F', 'AH1', 'N']",1
show,"['SH', 'OW1']",1
book,"['B', 'UH1', 'K']",1
engine,"['EH1', 'N', 'JH', 'AH0', 'N']",2
girl,"['G', 'ER1', 'L']",1
goes,"['G', 'OW1', 'Z']",1
lets,"['L', 'EH1', 'T', 'S']",1
seen,"['S', 'IY1', 'N']",1
street,"['S', 'T', 'R', 'IY1', 'T']",1
brown,"['B', 'R', 'AW1', 'N']",1
enough,"['IH0', 'N', 'AH1', 'F']",2
read,"['R', 'EH1', 'D']",1
try,"['T', 'R', 'AY1']",1
club,"['K', 'L', 'AH1', 'B']",1
four,"['F', 'AO1', 'R']",1
hard,"['HH', 'AA1', 'R', 'D']",1
wait,"['W', 'EY1', 'T']",1
better,"['B', 'EH1', 'T', 'ER0']",2
inside,"['IH0', 'N', 'S', 'AY1', 'D']",2
side,"['S', 'AY1', 'D']",1
upon,"['AH0', 'P', 'AA1', 'N']",2
felt,"['F', 'EH1', 'L', 'T']",1
grew,"['G', 'R', 'UW1']",1
tried,"['T', 'R', 'AY1', 'D']",1
window,"['W', 'IH1', 'N', 'D', 'OW0']",2
wont,"['W', 'OW1', 'N', 'T']",1
work,"['W', 'ER1', 'K']",1
across,"['AH0', 'K', 'R', 'AO1', 'S']",2
arnie,"['AA1', 'R', 'N', 'IY0']",2
most,"['M', 'OW1', 'S', 'T']",1
rain,"['R', 'EY1', 'N']",1
sir,"['S', 'ER1']",1
full,"['F', 'UH1', 'L']",1
together,"['T', 'AH0', 'G', 'EH1', 'DH', 'ER0']",3
walk,"['W', 'AO1', 'K']",1
ball,"['B', 'AO1', 'L']",1
cars,"['K', 'AA1', 'R', 'Z']",1
fire,"['F', 'AY1', 'ER0']",2
front,"['F', 'R', 'AH1', 'N', 'T']",1
garden,"['G', 'AA1', 'R', 'D', 'AH0', 'N']",2
hey,"['HH', 'EY1']",1
knew,"['N', 'UW1']",1
trees,"['T', 'R', 'IY1', 'Z']",1
which,"['W', 'IH1', 'CH']",1
bad,"['B', 'AE1', 'D']",1
duck,"['D', 'AH1', 'K']",1
thank,"['TH', 'AE1', 'NG', 'K']",1
these,"['DH', 'IY1', 'Z']",1
turned,"['T', 'ER1', 'N', 'D']",1
checkers,"['CH', 'EH1', 'K', 'ER0', 'Z']",2
room,"['R', 'UW1', 'M']",1
shoes,"['SH', 'UW1', 'Z']",1
sister,"['S', 'IH1', 'S', 'T', 'ER0']",2
today,"['T', 'AH0', 'D', 'EY1']",2
hot,"['HH', 'AA1', 'T']",1
keep,"['K', 'IY1', 'P']",1
sit,"['S', 'IH1', 'T']",1
gone,"['G', 'AO1', 'N']",1
king,"['K', 'IH1', 'NG']",1
quite,"['K', 'W', 'AY1', 'T']",1
tired,"['T', 'AY1', 'ER0', 'D']",2
turn,"['T', 'ER1', 'N']",1
call,"['K', 'AO1', 'L']",1
id,"['IH1', 'D']",1
need,"['N', 'IY1', 'D']",1
scarf,"['S', 'K', 'AA1', 'R', 'F']",1
food,"['F', 'UW1', 'D']",1
hell,"['HH', 'EH1', 'L']",1
maybe,"['M', 'EY1', 'B', 'IY0']",2
nothing,"['N', 'AH1', 'TH', 'IH0', 'NG']",2
pickles,"['P', 'IH1', 'K', 'AH0', 'L', 'Z']",2
pretty,"['P', 'R', 'IH1', 'T', 'IY0']",2
wind,"['W', 'AY1', 'N', 'D']",1
air,"['EH1', 'R']",1
done,"['D', 'AH1', 'N']",1
hand,"['HH', 'AE1', 'N', 'D']",1
hill,"['HH', 'IH1', 'L']",1
looking,"['L', 'UH1', 'K', 'IH0', 'NG']",2
poor,"['P', 'UH1', 'R']",1
slow,"['S', 'L', 'OW1']",1
whole,"['HH', 'OW1', 'L']",1
ask,"['AE1', 'S', 'K']",1
grass,"['G', 'R', 'AE1', 'S']",1
sad,"['S', 'AE1', 'D']",1
almost,"['AO1', 'L', 'M', 'OW2', 'S', 'T']",2
llama,"['L', 'AA1', 'M', 'AH0']",2
pulled,"['P', 'UH1', 'L', 'D']",1
sheep,"['SH', 'IY1', 'P']",1
father,"['F', 'AA1', 'DH', 'ER0']",2
mom,"['M', 'AA1', 'M']",1
po,"['P', 'OW1']",1
brother,"['B', 'R', 'AH1', 'DH', 'ER0']",2
five,"['F', 'AY1', 'V']",1
mouth,"['M', 'AW1', 'TH']",1
outside,"['AW1', 'T', 'S', 'AY1', 'D']",2
without,"['W', 'IH0', 'TH', 'AW1', 'T']",2
comes,"['K', 'AH1', 'M', 'Z']",1
hello,"['HH', 'AH0', 'L', 'OW1']",2
loved,"['L', 'AH1', 'V', 'D']",1
mary,"['M', 'EH1', 'R', 'IY0']",2
stopped,"['S', 'T', 'AA1', 'P', 'T']",1
such,"['S', 'AH1', 'CH']",1
brothers,"['B', 'R', 'AH1', 'DH', 'ER0', 'Z']",2
city,"['S', 'IH1', 'T', 'IY0']",2
cow,"['K', 'AW1']",1
hair,"['HH', 'EH1', 'R']",1
open,"['OW1', 'P', 'AH0', 'N']",2
ready,"['R', 'EH1', 'D', 'IY0']",2
song,"['S', 'AO1', 'NG']",1
sound,"['S', 'AW1', 'N', 'D']",1
watch,"['W', 'AA1', 'CH']",1
light,"['L', 'AY1', 'T']",1
pig,"['P', 'IH1', 'G']",1
shouted,"['SH', 'AW1', 'T', 'AH0', 'D']",2
child,"['CH', 'AY1', 'L', 'D']",1
feel,"['F', 'IY1', 'L']",1
jack,"['JH', 'AE1', 'K']",1
peter,"['P', 'IY1', 'T', 'ER0']",2
doing,"['D', 'UW1', 'IH0', 'NG']",2
far,"['F', 'AA1', 'R']",1
jumped,"['JH', 'AH1', 'M', 'P', 'T']",1
lady,"['L', 'EY1', 'D', 'IY0']",2
might,"['M', 'AY1', 'T']",1
milk,"['M', 'IH1', 'L', 'K']",1
bread,"['B', 'R', 'EH1', 'D']",1
papa,"['P', 'AA1', 'P', 'AH0']",2
quiet,"['K', 'W', 'AY1', 'AH0', 'T']",2
running,"['R', 'AH1', 'N', 'IH0', 'NG']",2
watched,"['W', 'AA1', 'CH', 'T']",1
deep,"['D', 'IY1', 'P']",1
fine,"['F', 'AY1', 'N']",1
lion,"['L', 'AY1', 'AH0', 'N']",2
lost,"['L', 'AO1', 'S', 'T']",1
past,"['P', 'AE1', 'S', 'T']",1
voice,"['V', 'OY1', 'S']",1
asleep,"['AH0', 'S', 'L', 'IY1', 'P']",2
birds,"['B', 'ER1', 'D', 'Z']",1
face,"['F', 'EY1', 'S']",1
sing,"['S', 'IH1', 'NG']",1
thump,"['TH', 'AH1', 'M', 'P']",1
whats,"['W', 'AH0', 'T', 'S']",1
anything,"['EH1', 'N', 'IY0', 'TH', 'IH2', 'NG']",3
bye,"['B', 'AY1']",1
coming,"['K', 'AH1', 'M', 'IH0', 'NG']",2
days,"['D', 'EY1', 'Z']",1
flying,"['F', 'L', 'AY1', 'IH0', 'NG']",2
lot,"['L', 'AA1', 'T']",1
own,"['OW1', 'N']",1
stood,"['S', 'T', 'UH1', 'D']",1
till,"['T', 'IH1', 'L']",1
clothes,"['K', 'L', 'OW1', 'DH', 'Z']",1
course,"['K', 'AO1', 'R', 'S']",1
ground,"['G', 'R', 'AW1', 'N', 'D']",1
ladybug,"['L', 'EY1', 'D', 'IY0', 'B', 'AH2', 'G']",3
lived,"['L', 'AY1', 'V', 'D']",1
quickly,"['K', 'W', 'IH1', 'K', 'L', 'IY0']",2
tail,"['T', 'EY1', 'L']",1
alone,"['AH0', 'L', 'OW1', 'N']",2
care,"['K', 'EH1', 'R']",1
catch,"['K', 'AE1', 'CH']",1
climbed,"['K', 'L', 'AY1', 'M', 'D']",1
leave,"['L', 'IY1', 'V']",1
opened,"['OW1', 'P', 'AH0', 'N', 'D']",2
owl,"['AW1', 'L']",1
slowly,"['S', 'L', 'OW1', 'L', 'IY0']",2
warm,"['W', 'AO1', 'R', 'M']",1
boys,"['B', 'OY1', 'Z']",1
cake,"['K', 'EY1', 'K']",1
grandma,"['G', 'R', 'AE1', 'M', 'AA0']",2
himself,"['HH', 'IH0', 'M', 'S', 'EH1', 'L', 'F']",2
honey,"['HH', 'AH1', 'N', 'IY0']",2
hurry,"['HH', 'ER1', 'IY0']",2
ice,"['AY1', 'S']",1
live,"['L', 'AY1', 'V']",1
makes,"['M', 'EY1', 'K', 'S']",1
met,"['M', 'EH1', 'T']",1
reached,"['R', 'IY1', 'CH', 'T']",1
rest,"['R', 'EH1', 'S', 'T']",1
rock,"['R', 'AA1', 'K']",1
being,"['B', 'IY1', 'IH0', 'NG']",2
bell,"['B', 'EH1', 'L']",1
both,"['B', 'OW1', 'TH']",1
faster,"['F', 'AE1', 'S', 'T', 'ER0']",2
kind,"['K', 'AY1', 'N', 'D']",1
pascal,"['P', 'AE0', 'S', 'K', 'AE1', 'L']",2
road,"['R', 'OW1', 'D']",1
ten,"['T', 'EH1', 'N']",1
bing,"['B', 'IH1', 'NG']",1
bright,"['B', 'R', 'AY1', 'T']",1
button,"['B', 'AH1', 'T', 'AH0', 'N']",2
dad,"['D', 'AE1', 'D']",1
flowers,"['F', 'L', 'AW1', 'ER0', 'Z']",2
getting,"['G', 'EH1', 'T', 'IH0', 'NG']",2
lunch,"['L', 'AH1', 'N', 'CH']",1
ma,"['M', 'AA1']",1
someone,"['S', 'AH1', 'M', 'W', 'AH2', 'N']",2
buy,"['B', 'AY1']",1
family,"['F', 'AE1', 'M', 'AH0', 'L', 'IY0']",3
fox,"['F', 'AA1', 'K', 'S']",1
instead,"['IH0', 'N', 'S', 'T', 'EH1', 'D']",2
kept,"['K', 'EH1', 'P', 'T']",1
mike,"['M', 'AY1', 'K']",1
pa,"['P', 'AA1']",1
party,"['P', 'AA1', 'R', 'T', 'IY0']",2
ride,"['R', 'AY1', 'D']",1
sea,"['S', 'IY1']",1
silly,"['S', 'IH1', 'L', 'IY0']",2
tinker,"['T', 'IH1', 'NG', 'K', 'ER0']",2
books,"['B', 'UH1', 'K', 'S']",1
cry,"['K', 'R', 'AY1']",1
eating,"['IY1', 'T', 'IH0', 'NG']",2
happened,"['HH', 'AE1', 'P', 'AH0', 'N', 'D']",2
hi,"['HH', 'AY1']",1
life,"['L', 'AY1', 'F']",1
turtle,"['T', 'ER1', 'T', 'AH0', 'L']",2
wow,"['W', 'AW1']",1
amelia,"['AH0', 'M', 'IY1', 'L', 'Y', 'AH0']",3
favorite,"['F', 'EY1', 'V', 'ER0', 'IH0', 'T']",3
grow,"['G', 'R', 'OW1']",1
hands,"['HH', 'AE1', 'N', 'D', 'Z']",1
hold,"['HH', 'OW1', 'L', 'D']",1
hug,"['HH', 'AH1', 'G']",1
kiss,"['K', 'IH1', 'S']",1
line,"['L', 'AY1', 'N']",1
same,"['S', 'EY1', 'M']",1
suddenly,"['S', 'AH1', 'D', 'AH0', 'N', 'L', 'IY0']",3
sweet,"['S', 'W', 'IY1', 'T']",1
toy,"['T', 'OY1']",1
animals,"['AE1', 'N', 'AH0', 'M', 'AH0', 'L', 'Z']",3
dinner,"['D', 'IH1', 'N', 'ER0']",2
finally,"['F', 'AY1', 'N', 'AH0', 'L', 'IY0']",3
funny,"['F', 'AH1', 'N', 'IY0']",2
jam,"['JH', 'AE1', 'M']",1
waiting,"['W', 'EY1', 'T', 'IH0', 'NG']",2
young,"['Y', 'AH1', 'NG']",1
afraid,"['AH0', 'F', 'R', 'EY1', 'D']",2
caught,"['K', 'AA1', 'T']",1
chicken,"['CH', 'IH1', 'K', 'AH0', 'N']",2
eggs,"['EH1', 'G', 'Z']",1
heart,"['HH', 'AA1', 'R', 'T']",1
legs,"['L', 'EH1', 'G', 'Z']",1
looks,"['L', 'UH1', 'K', 'S']",1
mulligan,"['M', 'AH1', 'L', 'IH0', 'G', 'AH0', 'N']",3
peep,"['P', 'IY1', 'P']",1
sang,"['S', 'AE1', 'NG']",1
sent,"['S', 'EH1', 'N', 'T']",1
set,"['S', 'EH1', 'T']",1
talk,"['T', 'AO1', 'K']",1
wolf,"['W', 'UH1', 'L', 'F']",1
arthur,"['AA1', 'R', 'TH', 'ER0']",2
cream,"['K', 'R', 'IY1', 'M']",1
fence,"['F', 'EH1', 'N', 'S']",1
follow,"['F', 'AA1', 'L', 'OW0']",2
picked,"['P', 'IH1', 'K', 'T']",1
terrible,"['T', 'EH1', 'R', 'AH0', 'B', 'AH0', 'L']",3
used,"['Y', 'UW1', 'Z', 'D']",1
waited,"['W', 'EY1', 'T', 'AH0', 'D']",2
wet,"['W', 'EH1', 'T']",1
bit,"['B', 'IH1', 'T']",1
boat,"['B', 'OW1', 'T']",1
caps,"['K', 'AE1', 'P', 'S']",1
decided,"['D', 'IH0', 'S', 'AY1', 'D', 'IH0', 'D']",3
fall,"['F', 'AO1', 'L']",1
filled,"['F', 'IH1', 'L', 'D']",1
floor,"['F', 'L', 'AO1', 'R']",1
hungry,"['HH', 'AH1', 'NG', 'G', 'R', 'IY0']",2
tom,"['T', 'AA1', 'M']",1
cannot,"['K', 'AE1', 'N', 'AA0', 'T']",2
hall,"['HH', 'AO1', 'L']",1
noise,"['N', 'OY1', 'Z']",1
smiled,"['S', 'M', 'AY1', 'L', 'D']",1
soft,"['S', 'AA1', 'F', 'T']",1
answered,"['AE1', 'N', 'S', 'ER0', 'D']",2
brought,"['B', 'R', 'AO1', 'T']",1
clean,"['K', 'L', 'IY1', 'N']",1
dump,"['D', 'AH1', 'M', 'P']",1
lilly,"['L', 'IH1', 'L', 'IY0']",2
mean,"['M', 'IY1', 'N']",1
mine,"['M', 'AY1', 'N']",1
moving,"['M', 'UW1', 'V', 'IH0', 'NG']",2
sitting,"['S', 'IH1', 'T', 'IH0', 'NG']",2
stand,"['S', 'T', 'AE1', 'N', 'D']",1
trucks,"['T', 'R', 'AH1', 'K', 'S']",1
bee,"['B', 'IY1']",1
cheese,"['CH', 'IY1', 'Z']",1
close,"['K', 'L', 'OW1', 'S']",1
covered,"['K', 'AH1', 'V', 'ER0', 'D']",2
dig,"['D', 'IH1', 'G']",1
frances,"['F', 'R', 'AE1', 'N', 'S', 'IH0', 'S']",2
freight,"['F', 'R', 'EY1', 'T']",1
guess,"['G', 'EH1', 'S']",1
laughed,"['L', 'AE1', 'F', 'T']",1
listen,"['L', 'IH1', 'S', 'AH0', 'N']",2
mountain,"['M', 'AW1', 'N', 'T', 'AH0', 'N']",2
move,"['M', 'UW1', 'V']",1
pie,"['P', 'AY1']",1
robin,"['R', 'AA1', 'B', 'AH0', 'N']",2
seemed,"['S', 'IY1', 'M', 'D']",1
stories,"['S', 'T', 'AO1', 'R', 'IY0', 'Z']",2
winter,"['W', 'IH1', 'N', 'T', 'ER0']",2
bag,"['B', 'AE1', 'G']",1
beep,"['B', 'IY1', 'P']",1
birthday,"['B', 'ER1', 'TH', 'D', 'EY2']",2
elephant,"['EH1', 'L', 'AH0', 'F', 'AH0', 'N', 'T']",3
fight,"['F', 'AY1', 'T']",1
horse,"['HH', 'AO1', 'R', 'S']",1
idea,"['AY0', 'D', 'IY1', 'AH0']",3
making,"['M', 'EY1', 'K', 'IH0', 'NG']",2
nine,"['N', 'AY1', 'N']",1
perfect,"['P', 'ER0', 'F', 'EH1', 'K', 'T']",2
playing,"['P', 'L', 'EY1', 'IH0', 'NG']",2
princess,"['P', 'R', 'IH1', 'N', 'S', 'EH0', 'S']",2
quack,"['K', 'W', 'AE1', 'K']",1
square,"['S', 'K', 'W', 'EH1', 'R']",1
star,"['S', 'T', 'AA1', 'R']",1
tall,"['T', 'AO1', 'L']",1
basket,"['B', 'AE1', 'S', 'K', 'AH0', 'T']",2
cellar,"['S', 'EH1', 'L', 'ER0']",2
color,"['K', 'AH1', 'L', 'ER0']",2
corner,"['K', 'AO1', 'R', 'N', 'ER0']",2
cup,"['K', 'AH1', 'P']",1
egg,"['EH1', 'G']",1
foot,"['F', 'UH1', 'T']",1
gold,"['G', 'OW1', 'L', 'D']",1
late,"['L', 'EY1', 'T']",1
loves,"['L', 'AH1', 'V', 'Z']",1
lucy,"['L', 'UW1', 'S', 'IY0']",2
page,"['P', 'EY1', 'JH']",1
remember,"['R', 'IH0', 'M', 'EH1', 'M', 'B', 'ER0']",3
stars,"['S', 'T', 'AA1', 'R', 'Z']",1
straight,"['S', 'T', 'R', 'EY1', 'T']",1
walking,"['W', 'AO1', 'K', 'IH0', 'NG']",2
wide,"['W', 'AY1', 'D']",1
believe,"['B', 'IH0', 'L', 'IY1', 'V']",2
