word,freq,phon_read,phonemes_right,phonemes_wrong,phonemes_proportion,phonemes_sum,phonemes_average,phoneme_dists,stress,wordwise_dist
act,72218,XX-_-XX,0,3,0.0,2.6716539042216922,0.6679134760554231,1.2220699980482568-0.8175076845533352-0.5544624822648168-0.07761373935528326,0.0,1.573285235171739
whiz,867,W-IH1-Z,3,0,1.0,0.7547471223166682,0.18868678057916705,0.4248786850094816-0.11982903206225709-0.18187663698634848-0.02816276825858103,1.0,0.47828145113292275
hath,2089,HH-AE1-_,2,1,0.6666666666666666,1.2580922911090142,0.31452307277725355,0.02717872461534052-0.10586540829511241-1.0544965725459405-0.0705515856526207,1.0,1.0624908072517347
babe,3165,B-EY1-B,3,0,1.0,0.7020848024796769,0.17552120061991922,0.04018380646976618-0.05246887376973808-0.6012501761059229-0.008181946134249721,1.0,0.6049268050987752
tray,3384,T-R-EY1,3,0,1.0,1.0211100918949385,0.2552775229737346,0.4293778667654952-0.14583373923920828-0.20418539698727098-0.24171308890296417,1.0,0.5529464039655547
and,10715413,AE1-N-D,3,0,1.0,0.9356709521055628,0.2339177380263907,0.6023875047927361-0.05410157099133376-0.25322774724805425-0.025954129073438914,1.0,0.6561978319885201
blur,1630,B-L-ER1,3,0,1.0,1.8237554904495608,0.4559388726123902,0.26522423212448065-0.20074099779141852-0.52961152531907-0.8281787352145915,1.0,1.037790550502724
love,165832,L-AH1-V,3,0,1.0,0.9530645517035973,0.23826613792589932,0.12285735020651394-0.5141050090371133-0.22771388863226077-0.08838830382770922,1.0,0.5822920196485449
shirk,169,SH-ER1-K,3,0,1.0,1.3509933537208263,0.3377483384302066,0.2833721366700143-0.6994239859409705-0.15368830922698973-0.21450892188285187,1.0,0.7994547228648277
hug,3803,HH-AH1-G,3,0,1.0,1.0790707550289507,0.26976768875723767,0.3651875759749839-0.24698504993682793-0.4177649594429777-0.049133169674161134,1.0,0.609348184734643
year,246568,Y-IH1-R,3,0,1.0,0.9077981398192589,0.22694953495481474,0.3969985416594907-0.4394610205936252-0.0416913812120249-0.029647196354118194,1.0,0.5944333084711683
herbs,2418,ER0-XX-XX,0,3,0.0,3.156365382972996,0.789091345743249,0.9706400623412927-1.062298007268037-0.9669427278965015-0.15648458546716487,0.0,1.740713891306756
sawed,2,S-AO1-D,3,0,1.0,1.0630876684702353,0.2657719171175588,0.01955746026964082-0.6373232361967764-0.3177124373481488-0.08849453465566917,1.0,0.7178689832818768
true,2,T-R-UW1,3,0,1.0,0.7972828221126882,0.19932070552817205,0.33439033154372294-0.057282637678229754-0.22310756300717752-0.18250228988355793,1.0,0.44517666705819187
isles,1259,AY1-L-Z,3,0,1.0,1.0073271861607702,0.25183179654019255,0.5669235284971395-0.06373223562540183-0.29880729097062936-0.07786413106759955,1.0,0.6487007823839719
gone,51802,G-OW1-N,2,1,0.6666666666666666,1.1842773537597628,0.2960693384399407,0.186256311426468-0.9658049018394049-0.02173485400308287-0.010481286490806992,1.0,0.9838967340164585
whoosh,207,W-UW1-SH,3,0,1.0,1.1730610413278384,0.2932652603319596,0.2682831169242076-0.31908547972024104-0.4830169695878696-0.10267547509552019,1.0,0.6462499673429811
wool,2068,W-UH1-L,3,0,1.0,0.7272896827275386,0.18182242068188464,0.11159483844727856-0.4185793255005009-0.19075522711426782-0.006360291665491211,1.0,0.4733815265576114
dead,72866,D-IY1-D,2,1,0.6666666666666666,1.6717077641716853,0.41792694104292133,0.11711952114274982-1.3997363017522566-0.1293444145521006-0.02550752672457825,1.0,1.410800945623167
nag,806,N-AE1-G,3,0,1.0,0.755292353545714,0.1888230883864285,0.3412411314879517-0.15123292167135446-0.23574087190578177-0.027077428480626158,1.0,0.4422938528133228
knave,149,N-EY1-V,3,0,1.0,0.973366070284368,0.243341517571092,0.1834464358250684-0.1639960467239919-0.5954941342622467-0.030429453473060968,1.0,0.6450476833052194
win,64801,W-IH1-N,3,0,1.0,0.7537738989316964,0.1884434747329241,0.4110898660852695-0.3174882470144821-0.013944516112266827-0.011251269719678044,1.0,0.5197256060559685
shall,60163,SH-AE1-L,3,0,1.0,1.1172368698760295,0.2793092174690074,0.2935092485315397-0.8001187106666181-0.012780759841840964-0.010828150836030578,1.0,0.8524190441355843
log,21914,L-AO1-G,3,0,1.0,1.4066343561044077,0.3516585890261019,0.501489985677314-0.5263443921265942-0.35252552159691536-0.026274456703584255,1.0,0.8083905091662027
turn,89687,T-ER1-N,3,0,1.0,0.5583490111942608,0.1395872527985652,0.19174066340750673-0.20163036635308504-0.08892110544981871-0.07605687598385039,1.0,0.3018458182888586
ware,1933,W-EH1-R,3,0,1.0,0.5462081595585727,0.13655203988964318,0.022468154093997505-0.4215829152447974-0.04985925114278925-0.05229783907698856,1.0,0.4283199519883891
bait,4291,B-EY1-T,3,0,1.0,0.42702660988468805,0.10675665247117201,0.2130716462998061-0.08929134278611825-0.1002774102363593-0.024386210562404358,1.0,0.2530271064980248
chop,2333,XX-AA0-P,1,2,0.3333333333333333,1.8548748129267503,0.46371870323168757,0.8321970739373488-0.8746876415232869-0.03957630732343823-0.10841379014267628,0.0,1.2128273884184486
ark,2892,AA1-R-K,3,0,1.0,1.5291022483407612,0.3822755620851903,0.9941398680944189-0.2606388830461715-0.15624215070305564-0.11808134649711531,1.0,1.046232057785094
guess,98365,G-EH1-S,3,0,1.0,1.2372163767454485,0.3093040941863621,0.0720684282473164-0.28020676357804075-0.011732624686867194-0.8732085602332241,1.0,0.9199676803298807
which,980927,W-IH1-CH,3,0,1.0,0.5246413925469381,0.13116034813673452,0.0812092209388373-0.1843764400384097-0.1657701403801196-0.09328559118957147,1.0,0.27707679471937485
mouth,34159,M-AW1-TH,3,0,1.0,1.342624059886085,0.33565601497152125,0.13864955420305905-0.4198508727592124-0.6621132902421949-0.12201034268161873,1.0,0.8054681788090765
rig,3195,R-IH1-G,3,0,1.0,1.078874153083808,0.269718538270952,0.4253057072939712-0.2067264319185606-0.4125156213796874-0.034326392491588566,1.0,0.6284649563932428
weighed,1711,W-EY1-D,3,0,1.0,1.5499571258086768,0.3874892814521692,0.22324884008082305-0.13148736274781478-0.505761534235385-0.6894593887446542,1.0,0.8934640168468404
lair,1490,L-EH1-R,3,0,1.0,1.1965393008942657,0.29913482522356644,0.15924999420070876-0.9542471987613398-0.029649662920550424-0.05339244501166673,1.0,0.9693699668817968
tease,1425,T-IY1-S,2,1,0.6666666666666666,1.2445298574499908,0.3111324643624977,0.017163271441050103-0.10103517234828936-0.7534179847811203-0.37291342887953105,1.0,0.8468800205273124
brew,2990,B-R-UW1,3,0,1.0,0.6306910943386616,0.1576727735846654,0.32426907583416636-0.009976536295937333-0.21653149391500348-0.07991398829355437,1.0,0.3981483369309158
dig,8931,D-IH1-G,3,0,1.0,0.7246090572956396,0.1811522643239099,0.3846134450325307-0.09047352892579548-0.23081914525115532-0.01870293808615811,1.0,0.45797405957500137
much,483900,M-AH1-CH,3,0,1.0,0.6637872325026442,0.16594680812566104,0.0888049359876188-0.33138031310351534-0.14385106977595452-0.09975091363555544,1.0,0.38515270168488175
loaf,1225,L-OW1-F,3,0,1.0,1.1326365107929317,0.2831591276982329,0.09189185637489387-0.8416365425916424-0.11860231029424927-0.08050580153214622,1.0,0.8586872976707555
jane,2,JH-EY1-N,3,0,1.0,0.3899216644853784,0.0974804161213446,0.24053556977935314-0.11737439242234352-0.012957361762671815-0.01905434052100993,1.0,0.26863556994957255
mows,2,M-OW1-Z,2,1,0.6666666666666666,2.048360403243426,0.5120901008108565,0.055763317128208235-1.8058737376394252-0.1308131579424728-0.05591019053331985,1.0,1.8123265532263446
ruff,2,R-AH1-F,3,0,1.0,1.3108269358441955,0.3277067339610489,0.1494237797871006-0.14484711775842998-0.1136292840596791-0.9029267542389857,1.0,0.9335397641264422
pat,17027,P-AE1-T,3,0,1.0,0.5532321314376534,0.13830803285941334,0.18546496316624836-0.2851897932739107-0.06086379315597995-0.021713581841514444,1.0,0.3462749654589483
pawn,1544,P-AO1-N,3,0,1.0,0.6040153850884454,0.15100384627211136,0.11830159167480271-0.44420669410053343-0.03149062327028662-0.010016476042822622,1.0,0.4608761686427106
hitch,1587,HH-IH1-CH,3,0,1.0,2.094988015938477,0.5237470039846193,0.12915803246830632-0.7141689333066183-0.49646357069314406-0.755197479470408,1.0,1.159102399564094
tide,3979,T-AY1-D,3,0,1.0,0.3270937438201056,0.0817734359550264,0.010826266551477781-0.09198300041265664-0.1938709700577304-0.030413506798240755,1.0,0.2170000341918187
mum,1452,M-AH1-M,3,0,1.0,0.622644339036169,0.15566108475904225,0.3073466823562277-0.23072012140200077-0.026367952105620256-0.05820958317232033,1.0,0.38958616767856824
tack,1605,T-AE1-K,3,0,1.0,0.5676749324981956,0.1419187331245489,0.03651971701364966-0.28935396022529264-0.0482432520471844-0.19355800321206887,1.0,0.35334334011602475
gate,16640,G-EY1-T,3,0,1.0,0.3119800721206592,0.0779950180301648,0.09365991395683601-0.08758107467589718-0.0979112504005927-0.03282783308733332,1.0,0.16464174350390118
near,78064,N-IY1-R,2,1,0.6666666666666666,0.8723235870436664,0.2180808967609166,0.052305485616023745-0.6616544790235944-0.11535018777003775-0.04301343463401042,1.0,0.6750395061143528
dime,2559,D-AY1-M,3,0,1.0,0.5526219171794168,0.1381554792948542,0.25621968121186345-0.2351506572177256-0.030958185700803-0.0302933930490247,1.0,0.3504574946474185
lawn,2665,L-AO1-N,3,0,1.0,0.3686914427723313,0.09217286069308282,0.11901207643140718-0.21464200143403483-0.027443521234112426-0.007593843672776863,1.0,0.24707463737821628
match,35071,M-AE1-CH,3,0,1.0,0.8616294378896618,0.21540735947241546,0.020726965243108693-0.14195788858213557-0.27973352889249586-0.41921105517192175,1.0,0.5239946614078161
rough,10150,R-AH1-XX,2,1,0.6666666666666666,2.2020876807024607,0.5505219201756152,0.04191463616198013-0.21737397171732695-1.2464725309237656-0.696326541899388,1.0,1.444843487581203
palm,5992,P-AA1-M,3,0,1.0,0.9963744891687324,0.2490936222921831,0.04128843782818163-0.6368187985488091-0.28113436411311343-0.037132888678628295,1.0,0.6983253535354021
lash,651,L-AE1-SH,3,0,1.0,0.5125792614686868,0.1281448153671717,0.0808817090176363-0.2502040919813787-0.1144341014845906-0.06705935898508121,1.0,0.2945098635154948
let,206687,L-EH1-T,3,0,1.0,0.880966246014694,0.2202415615036735,0.5222423204818155-0.3044726996118818-0.011087856599377305-0.04316336932161941,1.0,0.6061573088945982
heave,300,HH-IY1-V,3,0,1.0,0.7603799672870684,0.1900949918217671,0.11390028675510244-0.18035371830090813-0.12883861798270407-0.33728734424835366,1.0,0.4193600852509195
lays,1373,L-EY1-Z,3,0,1.0,0.7335011584296,0.1833752896074,0.12238670073453181-0.28590498748773907-0.2832898799705259-0.04191959023680315,1.0,0.4227653894613235
ties,7043,T-AY1-Z,3,0,1.0,0.8021109921339953,0.20052774803349882,0.05867065125920784-0.2012271360635425-0.40913395635271527-0.13307924845852975,1.0,0.47857631180265037
ills,883,IH1-L-Z,3,0,1.0,0.41701199391310706,0.10425299847827676,0.19300880932443784-0.006946568908325169-0.14641880081862696-0.07063781486171704,1.0,0.25244568013344626
knack,632,N-AE1-K,3,0,1.0,0.7054586597365411,0.17636466493413527,0.20774553427914688-0.2069426493849371-0.02468563765252296-0.2660848384199342,1.0,0.3967291129860012
ox,1192,_-_-XX-XX,0,3,0.0,5.38219580762678,1.345548951906695,1.5758515306694387-1.2056414378277072-1.5352214033977893-1.0654814357318447,0.0,2.7256255741866573
lame,7595,L-EY1-M,3,0,1.0,0.42733819183700866,0.10683454795925217,0.11408246824394275-0.27412752972785986-0.018037817476415433-0.021090376388790615,1.0,0.29821280816031737
hiss,1136,HH-IH1-S,3,0,1.0,0.7405248248687548,0.1851312062171887,0.05941935368672604-0.12375507739802334-0.07850703329823876-0.4788433604857667,1.0,0.5042819617366178
yip,712,_-IH1-P,2,1,0.6666666666666666,1.9714805839109155,0.4928701459777289,1.1364206100788756-0.7863587174213279-0.011984739795913647-0.03671651661479815,1.0,1.3824990314849628
lass,727,L-AE1-S,3,0,1.0,0.6520423663235726,0.16301059158089315,0.05150055869577796-0.134812673986939-0.12488773722180786-0.34084139641904776,1.0,0.3906361082065452
loss,30004,L-AO1-S,3,0,1.0,0.920901450731884,0.230225362682971,0.06287909086207462-0.36300531844394435-0.19289240696096-0.3021246344649051,1.0,0.5140169420359368
zone,17302,Z-OW1-N,3,0,1.0,1.3604646113269105,0.34011615283172764,0.6657954971728818-0.6585220844933091-0.024923977927340378-0.011223051733379135,1.0,0.9368469145954585
fear,34539,F-IY1-R,2,1,0.6666666666666666,0.9360675743119694,0.23401689357799235,0.14342788829914624-0.6467259588607626-0.11747718774165052-0.028436539410410144,1.0,0.6733762331859151
road,66724,R-OW1-D,3,0,1.0,0.844027496603177,0.21100687415079425,0.03182570349535105-0.6380379351384993-0.13090624245081617-0.04325761551851051,1.0,0.6535387882074888
got,301023,G-AA1-T,3,0,1.0,1.0648375617021038,0.26620939042552594,0.5224098396870764-0.43233365868895796-0.07854661840138347-0.03154744492468593,1.0,0.683366113866371
tongue,14965,T-AH1-NG,3,0,1.0,1.4976441262455074,0.37441103156137684,0.05713755628975272-0.22524332278819215-0.2739188056573311-0.9413444415102314,1.0,1.0075515492789333
dies,8974,D-AY1-Z,3,0,1.0,0.8061809132378004,0.2015452283094501,0.33934156228180046-0.15775948647504012-0.18885392162179296-0.12022594285916684,1.0,0.43607434287404184
fit,42664,F-IH1-T,3,0,1.0,0.7673114904492687,0.19182787261231718,0.38978030624345333-0.28195178109731106-0.067977788728904-0.027601614379600316,1.0,0.4866295540511468
hen,1307,HH-EH1-N,3,0,1.0,0.8706844848008061,0.21767112120020152,0.24754858395743676-0.5873620004154805-0.025897638677768994-0.009876261750119865,1.0,0.6379989413679682
then,705902,_-EH1-N,2,1,0.6666666666666666,1.6785805061725512,0.4196451265431378,1.161706849523097-0.48892288959031854-0.018440503490728066-0.009510263568407378,1.0,1.260570860156762
came,115004,K-EY1-M,3,0,1.0,0.40244387563169115,0.10061096890792279,0.20271450044979947-0.1332369020847891-0.023397615946152917-0.0430948571509497,1.0,0.24748708231862904
rare,36260,R-EH1-R,3,0,1.0,0.9072800613055352,0.2268200153263838,0.3120194429317723-0.5188762527237857-0.03230527676432965-0.044079088885647495,1.0,0.6079270477548603
dive,8179,D-AY1-V,3,0,1.0,0.6430014931968734,0.16075037329921835,0.10406964530274126-0.3005360527485161-0.1924463053343223-0.045949489811293764,1.0,0.37456554316413915
yep,2,Y-EH1-P,3,0,1.0,1.7998675220713773,0.44996688051784434,0.88145678506544-0.842610577903986-0.01615876139130874-0.05964139771064265,1.0,1.2209737310131497
soon,90303,S-UW1-N,3,0,1.0,0.569435196146545,0.14235879903663626,0.17402030874077384-0.307581390336545-0.07697015250228606-0.010863344566940039,1.0,0.3618449891417616
peach,1814,P-IY1-CH,3,0,1.0,0.7277312399140363,0.18193280997850908,0.09235065815295546-0.15894358538991968-0.1339834397207245-0.3424535566504367,1.0,0.4111176327765784
bed,31347,B-EH1-D,3,0,1.0,0.702679305937138,0.1756698264842845,0.3156686612991041-0.27894251359235867-0.08586820112442144-0.022199929921253893,1.0,0.43049020252317516
lows,1021,L-OW1-Z,3,0,1.0,1.1961648222220593,0.29904120555551483,0.06196611485492373-0.8913740408679803-0.1680294258660014-0.07479524063315376,1.0,0.912258568664474
hick,433,HH-IH1-K,3,0,1.0,0.9238869549589359,0.23097173873973398,0.32870044839331275-0.2816364811843146-0.010950383690479504-0.3025996416908291,1.0,0.5282514045056904
beer,24710,B-IH1-R,3,0,1.0,0.7617463622950177,0.19043659057375442,0.1881447276078024-0.3618079942747436-0.18471915313606643-0.02707448727640532,1.0,0.44850602743364876
hem,1793,HH-EH1-M,3,0,1.0,0.998918155534673,0.24972953888366825,0.19685818309768996-0.711357537930484-0.07480609747420283-0.015896337032296162,1.0,0.7420453737969179
tree,27220,T-R-IY1,3,0,1.0,0.6711452285328626,0.16778630713321566,0.2761373473278208-0.05388257273077901-0.21211613502990365-0.12900917344435917,1.0,0.3752223178412423
oaks,1633,OW1-K-XX,2,1,0.6666666666666666,1.9108892076780122,0.47772230191950305,0.7860146529179955-0.03219706003448875-0.6855810105973856-0.4070964841281421,1.0,1.1200913153658003
weighs,2044,W-EY1-_,2,1,0.6666666666666666,2.2021868145982273,0.5505467036495568,0.0933526466426191-0.17758656874807402-1.169192399695113-0.7620551995124211,1.0,1.4099612408302677
page,157110,P-EY1-CH,2,1,0.6666666666666666,0.9667208362494539,0.24168020906236348,0.04524271520718729-0.05113021830683638-0.8585313943771691-0.011816508358261238,1.0,0.8613228125995562
rake,921,R-EY1-K,3,0,1.0,0.5412461909676606,0.13531154774191514,0.06539657852222183-0.18630147500753141-0.14306639620207617-0.1464817412358311,1.0,0.28444656143136166
tight,19368,T-AY1-XX,2,1,0.6666666666666666,2.0569568401940646,0.5142392100485161,0.04034888879081297-0.527025292345273-0.7524713517406462-0.7371113073173325,1.0,1.1785287040050132
some,1042742,S-OW1-M,2,1,0.6666666666666666,1.9684359125393855,0.4921089781348464,0.0990889256623385-1.7880697191812898-0.05230770795947895-0.028969559736278423,1.0,1.7918111696117034
peed,413,P-IY1-D,3,0,1.0,0.4923714575987237,0.12309286439968092,0.04803296707125919-0.12640872328503547-0.2808659578136796-0.037063809428749435,1.0,0.31391996348780954
thighs,5675,TH-AY1-XX-XX,2,1,0.6666666666666666,1.7715951958424951,0.4428987989606238,0.09027802983614665-0.19281066865347812-0.9039988208901298-0.5845076764627407,1.0,1.0973555342879147
deep,42697,D-IY1-P,3,0,1.0,0.614810170316724,0.153702542579181,0.31241182355502506-0.06906885703489937-0.19058746108582086-0.04274202864097866,1.0,0.3748627960261848
cap,13883,XX-AE1-P,2,1,0.6666666666666666,1.485226707701607,0.37130667692540176,0.7475089620908678-0.33439643080223547-0.337542649324975-0.06577866548352868,1.0,0.8881736847517818
tang,2558,T-AE1-NG,3,0,1.0,0.7063792782252052,0.1765948195563013,0.02446198481933368-0.21069256410049314-0.2835608662052596-0.18766386310011868,1.0,0.4007670590571023
hair,42605,HH-EH1-R,3,0,1.0,0.7894830535524663,0.19737076338811657,0.38953451878632134-0.3205983657155048-0.023216136993676046-0.056134032056964024,1.0,0.5081441449012523
joys,1003,JH-OY1-Z,3,0,1.0,0.5938336392422872,0.1484584098105718,0.13005190195835828-0.24153387316608327-0.0619009171039161-0.1603469470139295,1.0,0.3237205215067309
chewed,806,CH-UW1-D,3,0,1.0,0.954066704140156,0.238516676035039,0.17163430767695512-0.15675263190014127-0.2918946615565998-0.3337851030064598,1.0,0.5006442964956694
surf,5925,S-ER1-F,3,0,1.0,1.630165627979756,0.407541406994939,0.4762501618066964-0.37912819315491925-0.5745647759309634-0.20022249708717685,1.0,0.8606777175843703
dare,8887,D-EH1-R,3,0,1.0,0.7296928826486792,0.1824232206621698,0.2691314871205006-0.3806893786366328-0.018791709507634462-0.06108030738391138,1.0,0.4705742158924245
tock,2,T-AA1-K,3,0,1.0,1.091958433172459,0.27298960829311475,0.05911520971315026-0.6716481671937022-0.06259363488401068-0.2986014213815958,1.0,0.7400585385583975
jab,1144,JH-AE1-B,3,0,1.0,1.1589978016799207,0.2897494504199802,0.5959785523307445-0.19588771434560723-0.34233637290107183-0.024795162102497197,1.0,0.7151023868961331
jaws,1548,JH-AO1-Z,3,0,1.0,0.7004885031954675,0.17512212579886688,0.3336936936666213-0.20380939003054427-0.06690050436055282-0.09608491513774903,1.0,0.408163860548947
watch,56976,W-AA1-CH,3,0,1.0,1.592417099761414,0.3981042749403535,0.01754246983130396-0.6548841508196597-0.29600465459994957-0.6239858245105008,1.0,0.9519233445910726
sun,74085,S-AH1-N,3,0,1.0,0.7383315370273322,0.18458288425683306,0.4001467315999374-0.2646998972753096-0.04603370002465107-0.027451208127434106,1.0,0.4827588557378177
calf,1480,K-AA1-F,2,1,0.6666666666666666,2.581636040875388,0.645409010218847,0.1964662554638397-1.348893426517457-0.8750160436209069-0.16126031527318435,1.0,1.6278115466828402
god,129946,G-AA1-D,3,0,1.0,1.0758534006996683,0.26896335017491707,0.4704825856642825-0.3413782972103211-0.237401055839064-0.026591461986000604,1.0,0.628457932071529
furs,336,F-ER1-S,2,1,0.6666666666666666,1.6452542756190223,0.41131356890475557,0.30799904619457236-0.13161048689761673-0.9217895935515273-0.2838551489753059,1.0,1.0210066273525735
check,170583,CH-EH1-K,3,0,1.0,1.2783893558632653,0.3195973389658163,0.0939642466653696-0.5245215294947084-0.02715753272955198-0.6327460469736352,1.0,0.827681826609463
sing,10919,S-IH1-NG,3,0,1.0,0.7454999744598242,0.18637499361495605,0.04996274591939733-0.3353036525643979-0.11505685278964915-0.2451767231863798,1.0,0.43390611930359135
nook,239,N-UH1-K,3,0,1.0,0.9219483749769785,0.23048709374424461,0.17499352525042713-0.5951200515365488-0.06618275715222134-0.08565204103778125,1.0,0.6296880490359048
free,244069,F-R-IY1,3,0,1.0,0.5094160438797488,0.1273540109699372,0.10108777948438255-0.052794784335597686-0.27965447343113975-0.07587900662862887,1.0,0.3114005083026053
chief,19009,CH-IY1-F,3,0,1.0,0.8141582191943758,0.20353955479859395,0.12319591516194184-0.29037518875706336-0.17781899725546774-0.2227681180199029,1.0,0.4251355242147591
ridge,7148,R-IH1-JH,3,0,1.0,1.7350721382049274,0.43376803455123186,0.017995869037527687-0.5919018115009793-0.6933136520288004-0.43186080563762,1.0,1.0088900739406863
dine,572,D-AY1-N,3,0,1.0,0.5033421976661393,0.12583554941653483,0.3143351764925371-0.1481139033587471-0.024115700639372566-0.0167774171754825,1.0,0.348722497543773
gall,1260,G-AO1-L,3,0,1.0,0.33029440711852875,0.08257360177963219,0.08843717816578851-0.1988498603294382-0.008418434459860314-0.03458893416344179,1.0,0.22052135007813273
maid,1716,M-EY1-D,3,0,1.0,0.4812436895950559,0.12031092239876398,0.10030359127054614-0.17973721216269037-0.17183184545812602-0.029371040703693382,1.0,0.2697315647145288
dug,2870,D-AH1-G,3,0,1.0,0.693466329560297,0.17336658239007424,0.41387066532319683-0.07010716393175666-0.17707992325867775-0.03240857704666583,1.0,0.4567401418061573
tome,5935,T-OW1-M,3,0,1.0,0.8232679283839177,0.20581698209597943,0.06272850063921429-0.7083635005275736-0.025476749373203166-0.02669917784392661,1.0,0.7120924269561418
toys,15330,T-OY1-Z,3,0,1.0,0.7633417200420463,0.19083543001051156,0.10330676774623263-0.4328292236581251-0.1412166489879019-0.08598907964978658,1.0,0.4747101103674314
heck,12965,HH-EH1-K,3,0,1.0,1.2727775026997035,0.31819437567492587,0.3045785075790305-0.6699635505056698-0.004525233862504135-0.2937102107524991,1.0,0.7924048156889385
dune,2293,D-UW1-N,3,0,1.0,0.7397271174450435,0.18493177936126087,0.1844686926903512-0.5192083678964455-0.015427644390652554-0.02062241246759414,1.0,0.5516061312059594
whale,2273,W-EY1-L,3,0,1.0,0.5540148054401777,0.13850370136004442,0.23845590726836516-0.2727549545852927-0.03480155819985361-0.008002385386666212,1.0,0.36404899613516145
glue,5285,G-L-UW1,3,0,1.0,0.6727713163936534,0.16819282909841335,0.1724289386591782-0.10909768427265779-0.23166040226048995-0.15958429120132758,1.0,0.3475165198584224
ditch,1737,D-IH1-CH,3,0,1.0,1.7173021395236923,0.42932553488092307,0.27673596850191395-0.25160370498764456-0.30921271019742386-0.87974975583671,1.0,1.0047185445031803
stew,1558,S-T-UW1,3,0,1.0,1.31770293970672,0.32942573492668,0.01126625971686616-0.25015795955270087-0.7723714353518311-0.28390728508532187,1.0,0.8601551685641055
bog,6277,B-AA1-G,3,0,1.0,1.0298893521550416,0.2574723380387604,0.3049812923686696-0.4644758132919507-0.2219030880384005-0.03852915845602079,1.0,0.59956388013321
poos,2,P-UW1-XX,2,1,0.6666666666666666,1.2770345504101135,0.3192586376025284,0.05184347539595404-0.12638407560013398-0.9010420354589781-0.1977649639550475,1.0,0.932549414850833
till,17334,T-IH1-L,3,0,1.0,0.5160834756505593,0.12902086891263984,0.05988752859387946-0.42729464276696205-0.01080857016929926-0.018092734120418612,1.0,0.4319854164615806
south,66284,S-AW1-TH,3,0,1.0,1.8065237677674668,0.4516309419418667,0.058951866998272956-1.1450563747610782-0.456586528901714-0.14592899710640175,1.0,1.2427372830065737
bus,35780,B-AH1-S,3,0,1.0,1.4905314648878252,0.3726328662219563,0.7009285033623814-0.18200640523263198-0.4549732136489946-0.15262334264381697,1.0,0.8687471486165572
durn,2,D-ER1-N,3,0,1.0,0.7494136023548204,0.1873534005887051,0.45458939693064937-0.10373229602566691-0.10517402845421928-0.0859178809442848,1.0,0.485649428670284
lurk,1852,L-ER1-K,3,0,1.0,0.9567147716223952,0.2391786929055988,0.24117050163876863-0.2819405305730173-0.14168154352781684-0.2919221958827923,1.0,0.49289542690711363
snow,20211,S-N-OW1,3,0,1.0,1.1373543066406726,0.28433857666016815,0.02153772844344695-0.34899528018863346-0.6640976986602287-0.10272359934836356,1.0,0.7575219274511739
