Word,Pronunciation by model,Correct pronciation
tiresome,T-XX-R-AH0-F-EH2-XX,T-AY1-ER0-S-AH0-M
homesick,HH-OW1-M-_-IH0-XX,HH-OW1-M-S-IH2-K
outdoors,AW1-T-XX-UH2-R-Z,AW1-T-D-AO1-R-Z
smoothen,S-M-UW1-DH-_,S-M-UW1-DH-IH0-N
snarls,S-N-AA1-R-_-Z,S-N-AA1-R-L-Z
hillside,HH-IH1-L-_-XX-N-T,HH-IH1-L-S-AY2-D
floras,F-L-AO1-R-AH0-S,F-L-AO1-R-AH0-Z
mischief,M-IH1-S-XX-IH0-_,M-IH1-S-CH-AH0-F
pascal,P-AE1-S-K-AH0-L,P-AE0-S-K-AE1-L
lengthen,L-EH1-NG-K-AH0-N,L-EH1-NG-TH-AH0-N
cutlet,K-AH1-T-L-EH0-T,K-AH1-T-L-EH2-T
belonged,B-IH0-L-XX-NG-D,B-IH0-L-AO1-NG-D
bedtime,B-EH1-D-XX-AH2-M,B-EH1-D-T-AY2-M
pecans,P-AH0-K-AA1-N-Z,P-IH0-K-AE1-N-Z
sultry,S-AH1-L-XX-XX,S-AH1-L-T-R-IY0
boston,B-XX-S-T-AH0-N,B-AA1-S-T-AH0-N
charging,CH-AA1-R-XX-_-_-N,CH-AA1-R-JH-IH0-NG
hawthorn,HH-AO1-TH-_-ER0,HH-AO1-TH-AO2-R-N
unlucky,AH0-N-L-AE1-K-S-IH0,AH0-N-L-AH1-K-IY0
blushes,B-L-AH1-SH-IH0-Z,B-L-AH1-SH-AH0-Z
licorice,L-AY1-K-ER0-IH0-Z,L-IH1-K-ER0-IH0-SH
senator,S-EH1-N-AH0-XX-XX,S-EH1-N-AH0-T-ER0
eleven,EH1-L-AH0-V-XX-N,IH0-L-EH1-V-AH0-N
toucans,T-UW1-K-AE0-N-Z,T-UW1-K-AE2-N-Z
allergen,AH0-L-ER1-JH-IH0-N,AE1-L-ER0-JH-AH0-N
ostrich,XX-S-T-R-IH0-K,AO1-S-T-R-IH0-CH
enemies,EH1-N-_-XX-AH0-Z,EH1-N-AH0-M-IY0-Z
realized,R-IY1-L-AY2-D-XX,R-IY1-L-AY2-Z-D
roughest,R-AH1-F-XX-XX-S,R-AH1-F-AH0-S-T
bakeries,B-EY1-K-ER0-IH0-Z,B-EY1-K-ER0-IY0-Z
bolted,B-OW1-L-T-XX-D,B-OW1-L-T-AH0-D
quality,K-W-AA1-L-AH0-S-IH0,K-W-AA1-L-AH0-T-IY0
bathtubs,B-AE1-TH-T-AH0-B-Z,B-AE1-TH-T-AH2-B-Z
victims,V-IH1-K-T-AH0-XX-Z,V-IH1-K-T-AH0-M-Z
mcgaffry,M-AH1-G-_-V-_-R,M-AH0-G-AE1-F-R-IY0
enchants,EH0-N-CH-AE1-N-D-S,EH0-N-CH-AE1-N-T-S
exerting,EH1-G-S-ER0-S-AY2-N,IH0-G-Z-ER1-T-IH0-NG
african,AE1-F-R-AH0-XX-AH0-N,AE1-F-R-AH0-K-AH0-N
remedies,R-IY0-XX-IY1-D-_-Z,R-EH1-M-AH0-D-IY0-Z
implying,IH0-M-P-L-AY1-_-XX,IH0-M-P-L-AY1-IH0-NG
pastries,P-IH1-S-CH-ER0-Z,P-EY1-S-T-R-IY0-Z
solemnly,S-AA1-L-AH0-M-L-IY0,S-AO1-L-AH0-M-L-IY0
creation,K-R-IY0-EY1-T-AH0-N,K-R-IY0-EY1-SH-AH0-N
racketed,R-AE1-K-AH0-T-AH0-D,R-AE1-K-IH0-T-AH0-D
poignant,P-OY1-N-AH0-N-T-S,P-OY1-N-Y-AH0-N-T
disobeys,D-IH2-S-AH0-B-EY1-Z,D-IH2-S-OW0-B-EY1-Z
prancers,P-R-AE1-N-XX-ER0-Z,P-R-AE1-N-S-ER0-Z
strength,S-T-R-EH1-N-CH,S-T-R-EH1-NG-K-TH
spotless,S-P-AA1-T-AH0-L-Z,S-P-AA1-T-L-AH0-S
limited,L-IH1-M-AH0-T-IH0-D,L-IH1-M-AH0-T-AH0-D
humorous,HH-IH0-XX-R-OW0-_-S,HH-Y-UW1-M-ER0-AH0-S
relative,R-IY0-L-EY1-F-XX-IH0,R-EH1-L-AH0-T-IH0-V
lettuces,L-EH1-T-AH0-S-AH0-Z,L-EH1-T-AH0-S-IH0-Z
polishes,P-AA1-L-IH0-SH-AH0-Z,P-AA1-L-IH0-SH-IH0-Z
colleges,K-AH1-L-IY0-JH-Z,K-AA1-L-IH0-JH-IH0-Z
funniest,F-AH1-N-IH0-S-T,F-AH1-N-IY0-AH0-S-T
milkman,M-IH1-L-XX-AH0-N,M-IH1-L-K-M-AE2-N
graceful,G-R-EY1-XX-XX-AH0-S,G-R-EY1-S-F-AH0-L
decision,D-IH0-S-AY1-Z-AH0-N,D-IH0-S-IH1-ZH-AH0-N
organize,AO1-R-G-AH0-N-XX-Z,AO1-R-G-AH0-N-AY2-Z
funeral,F-XX-UW1-XX-ER0-AH0,F-Y-UW1-N-ER0-AH0-L
scarcely,S-K-AA1-R-T-L-IY0,S-K-EH1-R-S-L-IY0
denmark,D-IY1-XX-M-AA0-R-_,D-EH1-N-M-AA2-R-K
adoption,AH0-D-AA1-P-T-AH0-N,AH0-D-AA1-P-SH-AH0-N
reviving,R-IY0-V-AY1-V-IH0-NG,R-IH0-V-AY1-V-IH0-NG
blotches,B-L-AA1-T-CH-_-Z,B-L-AA1-T-CH-AH0-Z
martins,M-AA1-R-T-AH0-N-Z,M-AA1-R-T-IH0-N-Z
heaviest,HH-EH1-V-XX-AH0-S-T,HH-EH1-V-IY0-AH0-S-T
alfalfa,IX1-L-F-AH0-L-AH0-XX,AE2-L-F-AE1-L-F-AH0
reminded,R-IY0-M-AY1-N-D,R-IY0-M-AY1-N-D-AH0-D
undusted,AH0-N-D-AH1-XX-AH0-D,AH0-N-D-AH1-S-T-IH0-D
funerals,F-XX-UW1-L-ER0-XX-S,F-Y-UW1-N-ER0-AH0-L-Z
programs,P-R-OW1-G-R-AE2-V-Z,P-R-OW1-G-R-AE2-M-Z
musical,M-AH0-S-IH0-AA1-T-AH0,M-Y-UW1-Z-IH0-K-AH0-L
canvases,K-AE1-N-V-XX-S,K-AE1-N-V-AH0-S-IH0-Z
probably,P-R-AA1-B-AH0-D-IY0,P-R-AA1-B-AH0-B-L-IY0
pyramids,P-IH1-R-AH0-M-IH0-XX,P-IH1-R-AH0-M-IH0-D-Z
chat,CH-AE1-XX,CH-AE1-T
cheat,CH-IY1-XX,CH-IY1-T
daffy,D-AE1-F-XX,D-AE1-F-IY0
vipper,V-IH1-P-AH0-XX,V-IH1-P-ER0
moats,M-OW1-XX-S,M-OW1-T-S
chickie,CH-IH1-K-IH0,CH-IH1-K-IY0
seater,S-IY1-XX-ER0,S-IY1-T-ER0
chutes,SH-UW1-T-XX,SH-UW1-T-S
nightie,N-AY1-T-XX,N-AY1-T-IY0
hanged,HH-AE1-NG-XX,HH-AE1-NG-D
poached,P-OW1-CH-XX,P-OW1-CH-T
glowed,G-L-OW1-XX,G-L-OW1-D
bonnie,B-AA1-N-IH0,B-AA1-N-IY0
teethed,T-IY1-V-D,T-IY1-DH-D
gnashed,N-AE1-SH-XX-D,N-AE1-SH-D
halves,HH-AE1-V-XX,HH-AE1-V-Z
chalks,CH-AO1-K-T,CH-AO1-K-S
unlatch,AH0-N-L-AE1-XX,AH0-N-L-AE1-CH
grandma,G-R-AE1-M-XX,G-R-AE1-M-AA0
hiccup,HH-IH1-K-XX-P,HH-IH1-K-AH0-P
hedgies,HH-EH1-JH-IY0-XX-XX,HH-EH1-JH-IY0-Z
tittered,T-IH1-T-XX-XX-XX,T-IH1-T-ER0-D
knobbly,N-AA1-B-L-IH0,N-AA1-B-L-IY0
russian,R-AH1-SH-XX-N,R-AH1-SH-AH0-N
chalking,CH-AO1-XX-IH0-NG,CH-AO1-K-IH0-NG
cuddly,K-AH1-D-XX-L-IH0,K-AH1-D-L-IY0
charley,CH-AA1-R-XX-IY0,CH-AA1-R-L-IY0
tuesday,T-UW1-Z-D-AH0,T-UW1-Z-D-IY0
evening,IY1-V-XX-_-IH0-NG,IY1-V-N-IH0-NG
tattoos,T-AE0-T-UW1-XX,T-AE0-T-UW1-Z
cuckoos,K-UW1-K-UW0-XX-S,K-UW1-K-UW0-Z
flappy,F-L-AE1-P-IH0,F-L-AE1-P-IY0
goldie,G-OW1-L-D-_,G-OW1-L-D-IY0
kitties,K-IH1-T-IY0-AA0-S,K-IH1-T-IY0-Z
unlike,AH0-N-L-XX-K,AH0-N-L-AY1-K
dinging,D-IH1-NG-_-N-XX,D-IH1-NG-IH0-NG
namely,N-EY1-M-L-IH0,N-EY1-M-L-IY0
biddies,B-IH1-D-IY0-_-Z,B-IH1-D-IY0-Z
hubbard,HH-AH1-B-ER0-XX,HH-AH1-B-ER0-D
tummies,T-AH1-M-XX-Z,T-AH1-M-IY0-Z
cellars,S-EH1-L-ER0-XX-XX,S-EH1-L-ER0-Z
david,D-EY1-V-_-T,D-EY1-V-IH0-D
chanced,CH-AE1-N-XX-T,CH-AE1-N-S-T
kiddies,K-IH1-D-IY0-AA0-Z,K-IH1-D-IY0-Z
mushes,M-AH1-SH-XX-Z,M-AH1-SH-IH0-Z
guineas,G-IH1-XX-IY0-Z,G-IH1-N-IY0-Z
ratburn,R-AE1-T-P-ER0-N,R-AE1-T-B-ER0-N
hurtling,HH-ER1-T-AH0-L-IH0-NG,HH-ER1-T-L-IH0-NG
melvin,M-EH1-L-V-XX-N,M-EH1-L-V-IH0-N
bearmine,B-EY1-R-M-AY2-N,B-EY1-R-M-AY0-N
mintery,M-IH1-N-T-ER0-IH2,M-IH1-N-T-ER0-IY2
english,IH1-NG-G-L-IH0-XX,IH1-NG-G-L-IH0-SH
bathtub,B-AE1-TH-T-AH0-XX,B-AE1-TH-T-AH0-B
nannying,N-AE1-N-IY0-_-IH0-NG,N-AE1-N-IY0-IH0-NG
footman,F-UH1-T-M-XX-N,F-UH1-T-M-AH0-N
babyish,B-EY1-B-IY0-IH0-XX,B-EY1-B-IY0-IH0-SH
exeter,IY1-G-S-IH0-XX-AH0-L,EH1-K-S-IH0-T-ER0
footmen,F-UH1-D-M-EH0-N,F-UH1-T-M-EH0-N
frisbee,F-R-IH1-S-XX-IY0,F-R-IH1-S-B-IY0
candied,K-AE1-N-D-IH0-D,K-AE1-N-D-IY0-D
shampoos,SH-AE1-M-P-UW0-Z,SH-AE0-M-P-UW1-Z
implies,IH0-M-P-L-AY1-XX,IH0-M-P-L-AY1-Z
nobody,N-OW1-B-AA2-D-IY0,N-OW1-B-AA2-D-IY2
evenings,IY1-V-XX-AH0-XX-IH0-XX,IY1-V-N-IH0-NG-Z
mojave,M-OW0-XX-AA1-V-IY0,M-OW0-HH-AA1-V-IY0
snacking,S-N-AE1-K-IY0-NG,S-N-AE1-K-IH0-NG
griffith,G-R-IH1-F-AH0-S,G-R-IH1-F-AH0-TH
seventh,S-EH1-V-AH0-N-S,S-EH1-V-AH0-N-TH
disguise,D-IH0-S-G-XX-Z,D-IH0-S-G-AY1-Z
faraway,F-AA1-R-AH0-F-EY1,F-AA1-R-AH0-W-EY1
huskies,HH-AH1-XX-K-IY0-Z,HH-AH1-S-K-IY0-Z
avoided,AH0-V-OY1-D-Z,AH0-V-OY1-D-AH0-D
feverish,F-IY1-V-ER0-IH0-XX,F-IY1-V-ER0-IH0-SH
chancing,CH-AE1-N-CH-IH0-NG,CH-AE1-N-S-IH0-NG
envious,EH1-N-V-XX-AH0-S,EH1-N-V-IY0-AH0-S
enrolled,EH0-N-R-OW1-XX-D,EH0-N-R-OW1-L-D
quackers,K-W-AE1-K-AH0-R-Z,K-W-AE1-K-ER0-Z
delights,D-IH0-L-AY1-D-S,D-IH0-L-AY1-T-S
overcame,OW1-V-ER0-XX-EY1-M,OW1-V-ER0-K-EY1-M
quakers,K-W-XX-K-ER0-Z,K-W-EY1-K-ER0-Z
foraged,F-XX-R-IH0-JH-D,F-OW1-R-IH0-JH-D
notebook,N-OW1-XX-B-UH2-K,N-OW1-T-B-UH2-K
excites,IH0-K-S-AY1-T-XX-S,IH0-K-S-AY1-T-S
devilish,D-EH1-V-L-IH0-XX,D-EH1-V-L-IH0-SH
erasers,IH0-R-EY1-Z-ER0-Z,IH0-R-EY1-S-ER0-Z
littler,L-IH1-T-AH0-L-XX,L-IH1-T-AH0-L-ER0
gloria,G-L-AO1-R-IY0-XX,G-L-AO1-R-IY0-AH0
tigerish,T-AY1-G-ER0-IH0-XX,T-AY1-G-ER0-IH0-SH
hudson,HH-AH1-XX-S-AH0-N,HH-AH1-D-S-AH0-N
toolshed,T-UW1-XX-SH-EH0-XX,T-UW1-L-SH-EH0-D
properly,P-R-AA1-P-ER0-XX-IY0,P-R-AA1-P-ER0-L-IY0
deserted,D-IH0-Z-ER1-T-XX,D-IH0-Z-ER1-T-IH0-D
scuttles,S-K-AH1-T-AH0-L-Z,S-K-AH1-T-AH0-L-S
exchange,IH0-K-S-CH-EY1-Z-XX,IH0-K-S-CH-EY1-N-JH
dinosaur,D-AY1-N-AH0-S-XX-R,D-AY1-N-AH0-S-AO2-R
embraced,EH0-M-B-R-EY1-S-D,EH0-M-B-R-EY1-S-T
portrait,P-AO1-R-T-R-AH0-XX,P-AO1-R-T-R-AH0-T
natashas,N-AH0-T-AA1-ZH-AH0-Z,N-AH0-T-AA1-SH-AH0-Z
champion,CH-AE1-M-P-IY0-AH0-XX,CH-AE1-M-P-IY0-AH0-N
kilkenny,K-IH1-L-K-XX-N-IY0,K-IH0-L-K-EH1-N-IY0
england,IH1-NG-G-XX-AH0-N-D,IH1-NG-G-L-AH0-N-D
naptimes,N-AE1-P-XX-AY2-N-Z,N-AE1-P-T-AY2-M-Z
bedelia,B-IY0-D-IY1-L-Y-AH0,B-EH0-D-IY1-L-Y-AH0
francine,F-R-AE1-N-S-IH0-N,F-R-AE0-N-S-IY1-N
frisbees,F-R-IH1-S-XX-IY0-Z,F-R-IH1-S-B-IY0-Z
uninvite,XX-N-IH0-N-V-AY1-T,AH0-N-IH0-N-V-AY1-T
selfsame,S-EH0-L-F-XX-IY1-M,S-EH0-L-F-S-EY1-M
solomon,S-AA1-L-AH0-M-AH0-L,S-AA1-L-AH0-M-AH0-N
exiting,EH1-G-Z-IH0-Z-IH0-NG,EH1-G-Z-IH0-T-IH0-NG
bumpety,B-AH1-M-P-AH0-T-IY0,B-AH1-M-P-AH0-T-IY2
exciting,IH0-K-S-AY1-XX-T-IH0-NG,IH0-K-S-AY1-T-IH0-NG
ovaltine,OW1-V-AH0-L-T-IH0-N,OW1-V-AH0-L-T-IY0-N
exerted,IH0-G-Z-ER1-T-T,IH0-G-Z-ER1-T-IH0-D
excited,IH0-K-S-XX-T-AH0-D,IH0-K-S-AY1-T-AH0-D
yolanda,Y-OW1-L-AH0-N-XX-AH0,Y-OW0-L-AA1-N-D-AH0
negligee,N-EH1-G-L-XX-JH-IY0,N-EH1-G-L-AH0-JH-EY2
swizzled,S-W-IH1-Z-AH0-L-T,S-W-IH1-Z-AH0-L-D
sunbeams,S-AH1-N-B-IY2-M-Z,S-AH1-N-B-IY0-M-Z
blondish,B-L-AA1-N-D-IH0-XX,B-L-AA1-N-D-IH0-SH
buxbaum,B-AH1-K-S-P-AW0-M,B-AH1-K-S-B-AW0-M
barnaby,B-AA1-R-XX-AH0-B-IY0,B-AA1-R-N-AH0-B-IY0
engaging,EH0-N-G-EY0-JH-IH0-NG,EH0-N-G-EY1-JH-IH0-NG
scrapers,S-K-R-EY1-P-AH0-XX,S-K-R-EY1-P-ER0-Z
flatbed,F-L-AE1-T-B-EH0-D,F-L-AE1-T-B-EH2-D
dewdrops,D-UW1-D-R-AA2-B-S,D-UW1-D-R-AA2-P-S
exited,EH1-G-Z-AH0-T-_-D,EH1-G-Z-AH0-T-IH0-D
sunroofs,S-AH1-N-R-UW2-V-S,S-AH1-N-R-UW2-F-S
hubcaps,HH-AH1-XX-K-AE2-P-S,HH-AH1-B-K-AE2-P-S
noticing,N-OW1-T-IH0-S-_-NG,N-OW1-T-IH0-S-IH0-NG
sackfuls,S-AE1-K-F-UH2-XX-Z,S-AE1-K-F-UH2-L-Z
dustbath,D-AH1-S-T-B-AE0-XX,D-AH1-S-T-B-AE0-TH
tickling,T-IH1-K-AH0-L-IH0-NG,T-IH1-K-AH0-L-IH2-NG
patricia,P-AH0-T-R-IH0-SH-AH0,P-AH0-T-R-IH1-SH-AH0
emblems,EH1-M-B-L-AH0-XX-Z,EH1-M-B-L-AH0-M-Z
decided,D-IH0-S-AY1-D-XX-D,D-IH0-S-AY1-D-IH0-D
exhibit,IH0-G-Z-IH1-B-AH0-T,IH0-G-Z-IH1-B-IH0-T
michigan,M-IH1-XX-IH0-G-AH0-N,M-IH1-SH-IH0-G-AH0-N
unclench,AH0-N-K-L-EH1-N-SH,AH0-N-K-L-EH1-N-CH
grandpas,G-R-AE1-N-D-P-AA2-S,G-R-AE1-N-D-P-AA2-Z
embraces,EH0-M-B-R-XX-XX-IH0-Z,EH0-M-B-R-EY1-S-IH0-Z
exactly,IH0-G-Z-AE1-K-XX-XX-IY0,IH0-G-Z-AE1-K-T-L-IY0
desisted,D-IH0-S-IY1-S-T-AH0-D,D-IY0-S-IH1-S-T-AH0-D
tastiest,T-EY1-S-XX-IY2-AA0-XX,T-EY1-S-T-IY0-EH0-S-T
