"word","nearest_phon_rank","nearest_phon","stage"
"than",1,"than","Late"
"mock",1,"mock","Late"
"chip",1,"chip","Late"
"route",2,"root","Late"
"pan",1,"pan","Late"
"tick",1,"tick","Late"
"gone",1,"gone","Late"
"well",1,"well","Late"
"bike",1,"bike","Late"
"weep",1,"weep","Late"
"file",1,"file","Late"
"should",1,"should","Late"
"keen",1,"keen","Late"
"gage",1,"gage","Late"
"gel",1,"gel","Late"
"cock",1,"cock","Late"
"foam",1,"foam","Late"
"lip",1,"lip","Late"
"moss",1,"moss","Late"
"rude",1,"rude","Late"
"those",1,"those","Late"
"pub",1,"pub","Late"
"soil",1,"soil","Late"
"fiche",10,"vice","Late"
"loaf",1,"loaf","Late"
"nice",1,"nice","Late"
"shut",1,"shut","Late"
"sought",1,"sought","Late"
"sack",1,"sack","Late"
"leash",2,"lease","Late"
"gig",1,"gig","Late"
"cope",1,"cope","Late"
"dug",1,"dug","Late"
"mom",1,"mom","Late"
"fawn",1,"fawn","Late"
"piece",1,"piece","Late"
"lit",1,"lit","Late"
"would",2,"wool","Late"
"stay",1,"stay","Late"
"rare",1,"rare","Late"
"reap",1,"reap","Late"
"vein",1,"vein","Late"
"vile",1,"vile","Late"
"gave",1,"gave","Late"
"phase",1,"phase","Late"
"zone",1,"zone","Late"
"cowl",1,"cowl","Late"
"tack",1,"tack","Late"
"news",1,"news","Late"
"sear",1,"sear","Late"
"less",1,"less","Late"
"buss",1,"buss","Late"
"sun",1,"sun","Late"
"tame",1,"tame","Late"
"rail",1,"rail","Late"
"boom",1,"boom","Late"
"cut",1,"cut","Late"
"hell",1,"hell","Late"
"chaise",2,"chase","Late"
"beek",1,"beek","Late"
"these",1,"these","Late"
"loot",1,"loot","Late"
"whore",1,"whore","Late"
"tall",1,"tall","Late"
"fell",1,"fell","Late"
"look",1,"look","Late"
"lace",1,"lace","Late"
"dry",1,"dry","Late"
"teeth",1,"teeth","Late"
"taught",1,"taught","Late"
"surf",1,"surf","Late"
"cat",1,"cat","Late"
"nick",1,"nick","Late"
"size",1,"size","Late"
"raid",1,"raid","Late"
"yen",1,"yen","Late"
"pyre",1,"pyre","Late"
"chill",1,"chill","Late"
"roof",1,"roof","Late"
"beam",1,"beam","Late"
"lull",1,"lull","Late"
"seam",1,"seam","Late"
"deaf",1,"deaf","Late"
"pull",1,"pull","Late"
"need",2,"knead","Late"
"fly",1,"fly","Late"
"notch",1,"notch","Late"
"teak",1,"teak","Late"
"few",1,"few","Late"
"seep",1,"seep","Late"
"fife",1,"fife","Late"
"seat",1,"seat","Late"
"arm",1,"arm","Late"
"beet",1,"beet","Late"
"mush",2,"muss","Late"
"peer",1,"peer","Late"
"bash",1,"bash","Late"
"far",1,"far","Late"
"old",1,"old","Late"
"note",1,"note","Late"
"said",3,"side","Late"
"laid",1,"laid","Late"
"draw",1,"draw","Late"
"glee",1,"glee","Late"
"wait",1,"wait","Late"
"badge",1,"badge","Late"
"deer",1,"deer","Late"
"sole",1,"sole","Late"
"bade",1,"bade","Late"
"coal",2,"cole","Late"
"fry",1,"fry","Late"
"shun",1,"shun","Late"
"toot",1,"toot","Late"
"pair",1,"pair","Late"
"mob",1,"mob","Late"
"male",1,"male","Late"
"goad",1,"goad","Late"
"heel",1,"heel","Late"
"lope",1,"lope","Late"
"wreath",1,"wreath","Late"
"home",1,"home","Late"
"pool",1,"pool","Late"
"tang",2,"tank","Late"
"wade",1,"wade","Late"
"dad",1,"dad","Late"
"will",1,"will","Late"
"heat",1,"heat","Late"
"quo",1,"quo","Late"
"roll",1,"roll","Late"
"vote",1,"vote","Late"
"rile",1,"rile","Late"
"mile",1,"mile","Late"
"pout",1,"pout","Late"
"fad",1,"fad","Late"
"loose",1,"loose","Late"
"choose",4,"cool","Late"
"wheel",1,"wheel","Late"
"get",1,"get","Late"
"lad",1,"lad","Late"
"verge",1,"verge","Late"
"glue",1,"glue","Late"
"dice",1,"dice","Late"
"wren",1,"wren","Late"
"lode",1,"lode","Late"
"dead",1,"dead","Late"
"sour",1,"sour","Late"
"wan",1,"wan","Late"
"then",2,"hen","Late"
"bet",1,"bet","Late"
"beige",1,"beige","Late"
"mum",1,"mum","Late"
"pot",1,"pot","Late"
"wide",1,"wide","Late"
"kin",1,"kin","Late"
"rat",1,"rat","Late"
"gas",1,"gas","Late"
"dike",1,"dike","Late"
"girl",1,"girl","Late"
"blew",1,"blew","Late"
"dean",1,"dean","Late"
"live",1,"live","Late"
"vail",1,"vail","Late"
"rhyme",1,"rhyme","Late"
"bong",1,"bong","Late"
"plow",1,"plow","Late"
"spy",1,"spy","Late"
"cab",1,"cab","Late"
"whiz",1,"whiz","Late"
"verb",1,"verb","Late"
"fen",1,"fen","Late"
"join",1,"join","Late"
"whip",1,"whip","Late"
"sight",1,"sight","Late"
"lease",1,"lease","Late"
"snow",1,"snow","Late"
"numb",1,"numb","Late"
"chime",1,"chime","Late"
"gut",1,"gut","Late"
"sine",1,"sine","Late"
"mad",1,"mad","Late"
"cry",1,"cry","Late"
"writhe",1,"writhe","Late"
"pill",1,"pill","Late"
"toil",1,"toil","Late"
"burl",1,"burl","Late"
"one",1,"one","Late"
"cell",1,"cell","Late"
"cough",6,"couch","Late"
"back",1,"back","Late"
"pour",1,"pour","Late"
"spa",1,"spa","Late"
"mar",1,"mar","Late"
"buck",1,"buck","Late"
"fake",1,"fake","Late"
"ream",1,"ream","Late"
"shine",1,"shine","Late"
"dock",1,"dock","Late"
"bass",1,"bass","Late"
"juke",1,"juke","Late"
"lewd",2,"lead","Late"
"ridge",1,"ridge","Late"
"mash",1,"mash","Late"
"mane",1,"mane","Late"
"yak",1,"yak","Late"
"birch",1,"birch","Late"
"type",1,"type","Late"
"rash",1,"rash","Late"
"tug",1,"tug","Late"
"seem",2,"seam","Late"
"pal",1,"pal","Late"
"miss",1,"miss","Late"
"hawk",1,"hawk","Late"
"oust",1,"oust","Late"
"newt",2,"nude","Late"
"shoot",2,"chute","Late"
"jar",1,"jar","Late"
"muss",1,"muss","Late"
"rage",1,"rage","Late"
"love",2,"loom","Late"
"bale",1,"bale","Late"
"veal",1,"veal","Late"
"heap",1,"heap","Late"
"toss",1,"toss","Late"
"thine",1,"thine","Late"
"hive",1,"hive","Late"
"ring",1,"ring","Late"
"beat",2,"beet","Late"
"yore",1,"yore","Late"
"meal",1,"meal","Late"
"hurt",5,"hurl","Late"
"fig",1,"fig","Late"
"knob",1,"knob","Late"
"wool",1,"wool","Late"
"gull",1,"gull","Late"
"feel",1,"feel","Late"
"gang",1,"gang","Late"
"bought",1,"bought","Late"
"din",1,"din","Late"
"pane",1,"pane","Late"
"rang",2,"rank","Late"
"room",1,"room","Late"
"side",1,"side","Late"
"tap",1,"tap","Late"
"shit",1,"shit","Late"
"shed",1,"shed","Late"
"phage",1,"phage","Late"
"heave",1,"heave","Late"
"fuzz",1,"fuzz","Late"
"reek",1,"reek","Late"
"reach",1,"reach","Late"
"song",5,"sun","Late"
"nurse",3,"nun","Late"
"tire",1,"tire","Late"
"hot",1,"hot","Late"
"ski",1,"ski","Late"
"sop",1,"sop","Late"
"goose",1,"goose","Late"
"laze",1,"laze","Late"
"rear",1,"rear","Late"
"mesh",1,"mesh","Late"
"come",2,"comb","Late"
"peal",1,"peal","Late"
"geese",1,"geese","Late"
"sod",1,"sod","Late"
"queue",3,"quiz","Late"
"chef",1,"chef","Late"
"buzz",1,"buzz","Late"
"met",1,"met","Late"
"elk",1,"elk","Late"
"pert",1,"pert","Late"
"house",1,"house","Late"
"dear",2,"deer","Late"
"pipe",1,"pipe","Late"
"gauze",1,"gauze","Late"
"thief",1,"thief","Late"
"shuck",1,"shuck","Late"
"have",1,"have","Late"
"lathe",1,"lathe","Late"
"wrath",1,"wrath","Late"
"church",1,"church","Late"
"set",1,"set","Late"
"prey",1,"prey","Late"
"jut",1,"jut","Late"
"flee",1,"flee","Late"
"sale",1,"sale","Late"
"shear",1,"shear","Late"
"wall",1,"wall","Late"
"wreck",1,"wreck","Late"
"hole",1,"hole","Late"
"perch",1,"perch","Late"
"but",1,"but","Late"
"vale",2,"vail","Late"
"duke",1,"duke","Late"
"pip",1,"pip","Late"
"claw",1,"claw","Late"
"douse",1,"douse","Late"
"loan",1,"loan","Late"
"job",1,"job","Late"
"nail",1,"nail","Late"
"boon",1,"boon","Late"
"fare",1,"fare","Late"
"latch",1,"latch","Late"
"heed",1,"heed","Late"
"rob",1,"rob","Late"
"road",1,"road","Late"
"peg",1,"peg","Late"
"noun",1,"noun","Late"
"hail",1,"hail","Late"
"chive",1,"chive","Late"
"yes",1,"yes","Late"
"purge",1,"purge","Late"
"lush",1,"lush","Late"
"noise",1,"noise","Late"
"writ",1,"writ","Late"
"tree",1,"tree","Late"
"shell",1,"shell","Late"
"hen",1,"hen","Late"
"jell",2,"gel","Late"
"woke",1,"woke","Late"
"hut",1,"hut","Late"
"hash",1,"hash","Late"
"thought",1,"thought","Late"
"wedge",1,"wedge","Late"
"rouge",1,"rouge","Late"
"south",1,"south","Late"
"gene",1,"gene","Late"
"poke",1,"poke","Late"
"shown",1,"shown","Late"
"clay",1,"clay","Late"
"hope",1,"hope","Late"
"ram",1,"ram","Late"
"hug",1,"hug","Late"
"judge",1,"judge","Late"
"yoke",1,"yoke","Late"
"chuck",1,"chuck","Late"
"rod",1,"rod","Late"
"vice",1,"vice","Late"
"fowl",1,"fowl","Late"
"curse",1,"curse","Late"
"bake",1,"bake","Late"
"full",1,"full","Late"
"deem",1,"deem","Late"
"voice",1,"voice","Late"
"worth",2,"worse","Late"
"cite",2,"sight","Late"
"soon",1,"soon","Late"
"watch",1,"watch","Late"
"moose",1,"moose","Late"
"lawn",1,"lawn","Late"
"node",1,"node","Late"
"load",2,"lode","Late"
"yang",2,"yank","Late"
"bean",1,"bean","Late"
"thing",1,"thing","Late"
"hurl",2,"hull","Late"
"vouch",1,"vouch","Late"
"beach",1,"beach","Late"
"seen",1,"seen","Late"
"fire",1,"fire","Late"
"coat",1,"coat","Late"
"sage",1,"sage","Late"
"pope",1,"pope","Late"
"leaf",1,"leaf","Late"
"his",1,"his","Late"
"lame",1,"lame","Late"
"sloe",1,"sloe","Late"
"letch",1,"letch","Late"
"cub",1,"cub","Late"
"knight",1,"knight","Late"
"yolk",2,"yoke","Late"
"sheaf",1,"sheaf","Late"
"sign",2,"sine","Late"
"pro",1,"pro","Late"
"arch",1,"arch","Late"
"wail",1,"wail","Late"
"bag",1,"bag","Late"
"lurch",1,"lurch","Late"
"plough",2,"plow","Late"
"curd",1,"curd","Late"
"tip",1,"tip","Late"
"bill",1,"bill","Late"
"zeal",2,"seal","Late"
"teach",1,"teach","Late"
"deck",1,"deck","Late"
"june",5,"gin","Late"
"tease",1,"tease","Late"
"catch",1,"catch","Late"
"coop",1,"coop","Late"
"save",1,"save","Late"
"weak",1,"weak","Late"
"haul",1,"haul","Late"
"putt",1,"putt","Late"
"dirge",1,"dirge","Late"
"souse",1,"souse","Late"
"wig",1,"wig","Late"
"fuck",1,"fuck","Late"
"hitch",1,"hitch","Late"
"mat",1,"mat","Late"
"booth",1,"booth","Late"
"gosh",1,"gosh","Late"
"sub",1,"sub","Late"
"roach",1,"roach","Late"
"rum",1,"rum","Late"
"math",1,"math","Late"
"pole",1,"pole","Late"
"hem",1,"hem","Late"
"shin",1,"shin","Late"
"mop",1,"mop","Late"
"pit",1,"pit","Late"
"fade",1,"fade","Late"
"run",1,"run","Late"
"match",1,"match","Late"
"food",1,"food","Late"
"peace",2,"piece","Late"
"verve",2,"firm","Late"
"some",1,"some","Late"
"cud",1,"cud","Late"
"line",1,"line","Late"
"nook",1,"nook","Late"
"got",1,"got","Late"
"palm",2,"pan","Late"
"hit",1,"hit","Late"
"jute",1,"jute","Late"
"sang",2,"sank","Late"
"char",1,"char","Late"
"rope",1,"rope","Late"
"terse",1,"terse","Late"
"site",3,"sight","Late"
"rose",1,"rose","Late"
"fun",1,"fun","Late"
"beer",1,"beer","Late"
"log",1,"log","Late"
"thru",1,"thru","Late"
"ball",1,"ball","Late"
"jade",1,"jade","Late"
"did",1,"did","Late"
"mill",1,"mill","Late"
"term",1,"term","Late"
"poll",2,"pole","Late"
"chat",1,"chat","Late"
"yon",1,"yon","Late"
"red",2,"read","Late"
"pear",2,"pair","Late"
"sock",1,"sock","Late"
"lid",1,"lid","Late"
"mauve",4,"moss","Late"
"view",1,"view","Late"
"tyme",1,"tyme","Late"
"jet",1,"jet","Late"
"bide",1,"bide","Late"
"sheer",2,"shear","Late"
"safe",1,"safe","Late"
"ham",1,"ham","Late"
"seize",1,"seize","Late"
"glow",1,"glow","Late"
"hat",1,"hat","Late"
"such",1,"such","Late"
"role",2,"roll","Late"
"lass",1,"lass","Late"
"womb",1,"womb","Late"
"dose",1,"dose","Late"
"shade",1,"shade","Late"
"wood",2,"would","Late"
"wage",1,"wage","Late"
"gill",1,"gill","Late"
"damn",1,"damn","Late"
"dole",1,"dole","Late"
"wit",1,"wit","Late"
"nil",1,"nil","Late"
"birth",1,"birth","Late"
"yearn",3,"yon","Late"
"dip",1,"dip","Late"
"game",1,"game","Late"
"zen",1,"zen","Late"
"bitch",1,"bitch","Late"
"joke",1,"joke","Late"
"ant",1,"ant","Late"
"dame",1,"dame","Late"
"cache",1,"cache","Late"
"dick",1,"dick","Late"
"bore",1,"bore","Late"
"lash",1,"lash","Late"
"bird",1,"bird","Late"
"siege",1,"siege","Late"
"thumb",2,"thump","Late"
"sly",1,"sly","Late"
"gash",1,"gash","Late"
"hush",1,"hush","Late"
"this",1,"this","Late"
"pale",2,"pail","Late"
"beg",1,"beg","Late"
"chick",1,"chick","Late"
"soothe",1,"soothe","Late"
"dig",1,"dig","Late"
"aunt",2,"ant","Late"
"hoof",1,"hoof","Late"
"robe",1,"robe","Late"
"cue",2,"queue","Late"
"sore",1,"sore","Late"
"purse",1,"purse","Late"
"rot",1,"rot","Late"
"mead",1,"mead","Late"
"rule",1,"rule","Late"
"sky",1,"sky","Late"
"pawn",1,"pawn","Late"
"tongue",1,"tongue","Late"
"thug",1,"thug","Late"
"while",1,"while","Late"
"late",1,"late","Late"
"whack",1,"whack","Late"
"hung",1,"hung","Late"
"put",12,"putt","Late"
"shout",1,"shout","Late"
"surge",1,"surge","Late"
"tone",1,"tone","Late"
"rove",2,"roam","Late"
"wife",1,"wife","Late"
"gnome",1,"gnome","Late"
"rouse",1,"rouse","Late"
"knoll",1,"knoll","Late"
"worse",5,"one","Late"
"tar",1,"tar","Late"
"what",1,"what","Late"
"jail",1,"jail","Late"
"net",1,"net","Late"
"real",1,"real","Late"
"debt",1,"debt","Late"
"wine",1,"wine","Late"
"pike",1,"pike","Late"
"light",1,"light","Late"
"wick",1,"wick","Late"
"sung",1,"sung","Late"
"howl",1,"howl","Late"
"tin",1,"tin","Late"
"right",1,"right","Late"
"else",1,"else","Late"
"cool",1,"cool","Late"
"gong",1,"gong","Late"
"retch",1,"retch","Late"
"faze",2,"phase","Late"
"bing",1,"bing","Late"
"fear",1,"fear","Late"
"bat",1,"bat","Late"
"fought",1,"fought","Late"
"mate",1,"mate","Late"
"tong",1,"tong","Late"
"pate",1,"pate","Late"
"won",2,"one","Late"
"lamb",2,"lamp","Late"
"kit",1,"kit","Late"
"bell",1,"bell","Late"
"sheet",1,"sheet","Late"
"gap",1,"gap","Late"
"pall",12,"pool","Late"
"whig",2,"wig","Late"
"leg",1,"leg","Late"
"bud",1,"bud","Late"
"meat",1,"meat","Late"
"apt",1,"apt","Late"
"reef",1,"reef","Late"
"suit",6,"sit","Late"
"knit",1,"knit","Late"
"shore",1,"shore","Late"
"tool",1,"tool","Late"
"sum",2,"some","Late"
"poise",2,"pace","Late"
"beck",1,"beck","Late"
"aft",1,"aft","Late"
"reel",2,"real","Late"
"beak",2,"beek","Late"
"curve",2,"curb","Late"
"wane",1,"wane","Late"
"sip",1,"sip","Late"
"dove",2,"dome","Late"
"lice",1,"lice","Late"
"hang",2,"hank","Late"
"jape",1,"jape","Late"
"gray",1,"gray","Late"
"reign",2,"rain","Late"
"wire",1,"wire","Late"
"ref",1,"ref","Late"
"poor",5,"pour","Late"
"pup",1,"pup","Late"
"hook",1,"hook","Late"
"lick",1,"lick","Late"
"prow",1,"prow","Late"
"hare",1,"hare","Late"
"huff",1,"huff","Late"
"cake",1,"cake","Late"
"den",1,"den","Late"
"mud",1,"mud","Late"
"beep",1,"beep","Late"
"par",1,"par","Late"
"pod",1,"pod","Late"
"fight",1,"fight","Late"
"flaw",1,"flaw","Late"
"bed",1,"bed","Late"
"blow",1,"blow","Late"
"loss",1,"loss","Late"
"niche",1,"niche","Late"
"loom",1,"loom","Late"
"jack",1,"jack","Late"
"check",1,"check","Late"
"men",1,"men","Late"
"bush",1,"bush","Late"
"vet",1,"vet","Late"
"fin",1,"fin","Late"
"cause",1,"cause","Late"
"been",2,"bean","Late"
"dale",1,"dale","Late"
"pang",1,"pang","Late"
"throw",1,"throw","Late"
"tech",1,"tech","Late"
"three",1,"three","Late"
"rise",1,"rise","Late"
"play",1,"play","Late"
"limb",2,"limp","Late"
"mail",2,"male","Late"
"buff",1,"buff","Late"
"oft",2,"aft","Late"
"case",1,"case","Late"
"inch",1,"inch","Late"
"hall",2,"haul","Late"
"bite",1,"bite","Late"
"hymn",1,"hymn","Late"
"fill",1,"fill","Late"
"peep",1,"peep","Late"
"babe",1,"babe","Late"
"year",1,"year","Late"
"fang",2,"thank","Late"
"pare",3,"pair","Late"
"verse",1,"verse","Late"
"cheek",1,"cheek","Late"
"dirt",1,"dirt","Late"
"perk",1,"perk","Late"
"salve",3,"sob","Late"
"piss",1,"piss","Late"
"cove",1,"cove","Late"
"fine",1,"fine","Late"
"car",1,"car","Late"
"niece",1,"niece","Late"
"peat",1,"peat","Late"
"gouge",1,"gouge","Late"
"rig",1,"rig","Late"
"lug",1,"lug","Late"
"ask",1,"ask","Late"
"chop",2,"cop","Late"
"deed",1,"deed","Late"
"fern",2,"fun","Late"
"turf",1,"turf","Late"
"lain",2,"lane","Late"
"was",1,"was","Late"
"knack",1,"knack","Late"
"jab",1,"jab","Late"
"mime",1,"mime","Late"
"spur",1,"spur","Late"
"weed",1,"weed","Late"
"word",8,"wall","Late"
"hid",1,"hid","Late"
"zing",1,"zing","Late"
"chalk",1,"chalk","Late"
"lot",1,"lot","Late"
"dash",1,"dash","Late"
"hatch",1,"hatch","Late"
"hoop",1,"hoop","Late"
"fete",5,"feet","Late"
"crew",1,"crew","Late"
"czar",5,"tar","Late"
"dam",2,"damn","Late"
"fool",1,"fool","Late"
"whirl",3,"will","Late"
"both",1,"both","Late"
"dyke",2,"dike","Late"
"sake",1,"sake","Late"
"wove",1,"wove","Late"
"hick",1,"hick","Late"
"gab",1,"gab","Late"
"shall",1,"shall","Late"
"pry",1,"pry","Late"
"shag",1,"shag","Late"
"bop",1,"bop","Late"
"lime",1,"lime","Late"
"juice",1,"juice","Late"
"jot",1,"jot","Late"
"choke",5,"coke","Late"
"bathe",1,"bathe","Late"
"rush",1,"rush","Late"
"third",1,"third","Late"
"sail",2,"sale","Late"
"war",1,"war","Late"
"wring",2,"ring","Late"
"sway",1,"sway","Late"
"grew",1,"grew","Late"
"witch",1,"witch","Late"
"posh",1,"posh","Late"
"budge",1,"budge","Late"
"luck",1,"luck","Late"
"pier",2,"peer","Late"
"rate",1,"rate","Late"
"made",1,"made","Late"
"dun",1,"dun","Late"
"dope",1,"dope","Late"
"dearth",1,"dearth","Late"
"guess",1,"guess","Late"
"kiss",1,"kiss","Late"
"search",5,"such","Late"
"coin",1,"coin","Late"
"gush",1,"gush","Late"
"shove",1,"shove","Late"
"chore",21,"corps","Late"
"flow",1,"flow","Late"
"talk",1,"talk","Late"
"moon",1,"moon","Late"
"team",1,"team","Late"
"keep",1,"keep","Late"
"booze",1,"booze","Late"
"gate",1,"gate","Late"
"brow",1,"brow","Late"
"meet",2,"meat","Late"
"plea",2,"plead","Late"
"ripe",1,"ripe","Late"
"half",1,"half","Late"
"veil",3,"vail","Late"
"leave",1,"leave","Late"
"mode",1,"mode","Late"
"lap",1,"lap","Late"
"same",1,"same","Late"
"dodge",1,"dodge","Late"
"care",1,"care","Late"
"kid",1,"kid","Late"
"them",2,"hem","Late"
"bob",1,"bob","Late"
"burn",1,"burn","Late"
"calf",4,"cache","Late"
"sheik",2,"chic","Late"
"kneel",1,"kneel","Late"
"haze",1,"haze","Late"
"fair",2,"fare","Late"
"tsar",5,"tar","Late"
"pop",1,"pop","Late"
"worm",17,"wall","Late"
"make",1,"make","Late"
"pitch",1,"pitch","Late"
"wish",1,"wish","Late"
"lure",1,"lure","Late"
"mere",1,"mere","Late"
"down",1,"down","Late"
"try",1,"try","Late"
"gird",1,"gird","Late"
"tour",3,"tore","Late"
"give",1,"give","Late"
"ran",1,"ran","Late"
"head",1,"head","Late"
"rake",1,"rake","Late"
"whiff",1,"whiff","Late"
"sheath",1,"sheath","Late"
"mouse",1,"mouse","Late"
"drew",1,"drew","Late"
"take",1,"take","Late"
"end",1,"end","Late"
"flu",1,"flu","Late"
"tube",1,"tube","Late"
"bait",1,"bait","Late"
"bang",2,"bank","Late"
"ban",1,"ban","Late"
"cheap",1,"cheap","Late"
"waive",1,"waive","Late"
"git",2,"kit","Late"
"rung",1,"rung","Late"
"gem",1,"gem","Late"
"doom",1,"doom","Late"
"turn",1,"turn","Late"
"bad",1,"bad","Late"
"curt",1,"curt","Late"
"chum",1,"chum","Late"
"might",1,"might","Late"
"which",2,"witch","Late"
"jerk",1,"jerk","Late"
"fog",1,"fog","Late"
"lop",1,"lop","Late"
"stow",1,"stow","Late"
"cheer",1,"cheer","Late"
"rev",1,"rev","Late"
"dune",1,"dune","Late"
"nun",1,"nun","Late"
"fray",1,"fray","Late"
"pause",1,"pause","Late"
"lodge",1,"lodge","Late"
"patch",1,"patch","Late"
"doubt",1,"doubt","Late"
"comb",2,"calm","Late"
"weight",2,"wait","Late"
"knot",1,"knot","Late"
"ruse",1,"ruse","Late"
"jazz",1,"jazz","Late"
"like",1,"like","Late"
"heal",2,"heel","Late"
"poach",1,"poach","Late"
"sit",1,"sit","Late"
"belle",2,"bell","Late"
"gyp",2,"dip","Late"
"guide",1,"guide","Late"
"gin",10,"kin","Late"
"ship",1,"ship","Late"
"sash",1,"sash","Late"
"sing",1,"sing","Late"
"bin",2,"been","Late"
"feet",1,"feet","Late"
"gale",1,"gale","Late"
"flew",2,"flu","Late"
"shame",1,"shame","Late"
"mean",1,"mean","Late"
"your",2,"yore","Late"
"muck",1,"muck","Late"
"till",1,"till","Late"
"shop",1,"shop","Late"
"sham",1,"sham","Late"
"whom",1,"whom","Late"
"bail",2,"bale","Late"
"cup",1,"cup","Late"
"tag",1,"tag","Late"
"lear",1,"lear","Late"
"fan",1,"fan","Late"
"heard",45,"held","Late"
"wretch",2,"retch","Late"
"reed",1,"reed","Late"
"flea",2,"flee","Late"
"leap",1,"leap","Late"
"foot",1,"foot","Late"
"hull",1,"hull","Late"
"eighth",1,"eighth","Late"
"cape",1,"cape","Late"
"noose",2,"news","Late"
"bear",2,"beer","Late"
"batch",1,"batch","Late"
"nudge",1,"nudge","Late"
"whoop",1,"whoop","Late"
"whoosh",1,"whoosh","Late"
"four",3,"for","Late"
"laugh",2,"lamb","Late"
"and",3,"ant","Late"
"shone",2,"shown","Late"
"beef",1,"beef","Late"
"cad",1,"cad","Late"
"pin",1,"pin","Late"
"cop",1,"cop","Late"
"hedge",4,"hen","Late"
"whit",2,"wit","Late"
"dud",1,"dud","Late"
"wrack",2,"rack","Late"
"chase",1,"chase","Late"
"sheen",1,"sheen","Late"
"jean",2,"gene","Late"
"cull",1,"cull","Late"
"mite",2,"might","Late"
"nab",1,"nab","Late"
"dare",1,"dare","Late"
"pain",2,"pane","Late"
"mare",1,"mare","Late"
"more",1,"more","Late"
"nod",1,"nod","Late"
"tomb",1,"tomb","Late"
"chafe",1,"chafe","Late"
"fat",1,"fat","Late"
"feat",2,"feet","Late"
"weave",1,"weave","Late"
"hoot",1,"hoot","Late"
"gown",1,"gown","Late"
"butt",2,"but","Late"
"loud",1,"loud","Late"
"whim",1,"whim","Late"
"had",1,"had","Late"
"sell",2,"cell","Late"
"five",1,"five","Late"
"taut",2,"taught","Late"
"fetch",1,"fetch","Late"
"book",1,"book","Late"
"sat",1,"sat","Late"
"hag",1,"hag","Late"
"rub",1,"rub","Late"
"dawn",1,"dawn","Late"
"grey",2,"gray","Late"
"cash",2,"cache","Late"
"guise",1,"guise","Late"
"grow",1,"grow","Late"
"hub",1,"hub","Late"
"time",2,"tyme","Late"
"roar",1,"roar","Late"
"wore",2,"war","Late"
"boat",1,"boat","Late"
"mole",1,"mole","Late"
"youth",1,"youth","Late"
"bath",1,"bath","Late"
"keel",1,"keel","Late"
"void",1,"void","Late"
"rib",1,"rib","Late"
"soul",2,"sole","Late"
"tell",1,"tell","Late"
"shim",1,"shim","Late"
"ken",1,"ken","Late"
"mine",1,"mine","Late"
"pet",1,"pet","Late"
"fall",1,"fall","Late"
"learn",1,"learn","Late"
"ink",1,"ink","Late"
"gore",1,"gore","Late"
"meek",1,"meek","Late"
"sure",4,"sear","Late"
"threw",2,"thru","Late"
"lack",1,"lack","Late"
"pace",1,"pace","Late"
"shook",1,"shook","Late"
"boss",1,"boss","Late"
"shawl",1,"shawl","Late"
"push",1,"push","Late"
"vue",2,"view","Late"
"mall",1,"mall","Late"
"cot",2,"caught","Late"
"lead",1,"lead","Late"
"thud",1,"thud","Late"
"non",3,"nun","Late"
