word,needs_variants
astonished,TRUE
astonishment,
astounded,TRUE
astounding,
at,
ate,
athens,
atop,
attached,TRUE
attack,TRUE
attacked,
attend,TRUE
attendant,
attendants,
attention,
attentionthat,
attic,TRUE
attitude,TRUE
aught,
august,
aunt,
auntie,
aunts,
author,TRUE
authority,TRUE
auto,
automobile,
automobiles,
autumn,
avenue,TRUE
averill,
avoid,TRUE
aw,
await,TRUE
awaited,
awake,TRUE
awakened,
awakens,
aware,
away,
awesome,
awful,
awfully,
awhile,
awkward,
awl,
awning,TRUE
awoke,
awwwk,
ax,
axe,
axes,
axle,TRUE
ay,
aye,
azure,
b,
ba,
baa,
baaa,
baaaa,
babar,
babars,
babble,TRUE
babby,
babe,
babies,
baboons,TRUE
babs,
babushka,
baby,
babyish,
babylon,
babys,
babysit,TRUE
babysitter,
babysitters,
babysitting,
bachelor,TRUE
back,TRUE
backed,
background,TRUE
backhoe,
backhome,
backpackcheck,
backpacks,TRUE
backrest,
backs,
backseat,TRUE
backward,
backwards,
backwoodsman,
backyard,
backyards,
bacon,
bacteria,TRUE
bad,
bade,
badger,TRUE
badlands,
badly,
bag,TRUE
baggage,
bagpipe,TRUE
bags,
bah,
bailey,
bait,TRUE
bake,
baked,
baker,
bakers,
bakery,TRUE
bakeshop,TRUE
bakin,
baking,
balance,TRUE
balancing,
bald,
ball,TRUE
ballerina,
ballerinas,
ballet,
balloon,
balloons,
ballroom,TRUE
balls,
baloney,
balsa,
bam,
bamboo,
banana,TRUE
bananamobile,
bananas,
banbury,
band,TRUE
banderilleros,
bands,
bandy,
bang,
banged,
bangerville,
banging,
bangs,
banjos,TRUE
bank,TRUE
banner,TRUE
bantam,
banyan,
bapa,
bappity,
bar,TRUE
barbaras,TRUE
barbed,TRUE
barber,
barbers,
barbershop,TRUE
bare,
barely,
barge,
bari,
bark,
barked,
barkers,TRUE
barking,
barks,
barley,
barm,
barn,
barnaby,
barnes,
barney,
barns,
barnyard,TRUE
barooom,
barosaur,
barrel,TRUE
barrels,
barren,
bars,
base,TRUE
baseball,
basement,TRUE
bash,TRUE
bashed,
bask,TRUE
basket,
baskets,
basking,
bat,
bates,TRUE
bath,TRUE
bathe,TRUE
bathing,
bathrobe,TRUE
bathroom,TRUE
bathtime,
bathtub,TRUE
bats,
batted,
batter,TRUE
battered,
battery,TRUE
battle,TRUE
battles,
bay,
bayou,TRUE
bays,
bazookas,TRUE
bb,
be,
beach,TRUE
beaches,
beacon,
beacons,
beads,TRUE
beady,
beak,
beaks,
beam,TRUE
beamed,
beams,
bean,
beans,
beanstalk,TRUE
bear,
beard,TRUE
bearded,
bearmine,
bears,
beast,TRUE
beat,
beaten,
beating,
beats,
beautiful,
beautifully,
beauty,TRUE
beaver,
beavers,
became,
because,
beckon,TRUE
beckoned,
become,
becoming,
bed,
bedbugs,TRUE
bedelia,
bedroom,TRUE
beds,
bedtime,
bee,
beech,TRUE
beef,TRUE
beefy,
beehive,TRUE
been,
beep,TRUE
beeper,
beeping,
beeps,
beer,TRUE
bees,
beet,
beetle,
beetles,
beets,
beezle,
before,
beft,
beg,TRUE
began,
beggar,
beggars,
begged,
begging,
begin,
beginners,TRUE
beginning,
begins,
begrudging,TRUE
beguiling,
begun,
behaved,TRUE
behaving,
behavior,TRUE
behind,
beige,
bein,
being,
belch,TRUE
belching,
believe,TRUE
believed,
bell,TRUE
bellar,
belleisle,
bellies,
bellowed,TRUE
bellowing,
bells,
belly,
belong,TRUE
belonged,
belongs,
below,
belted,TRUE
belts,
beluga,TRUE
ben,
bench,TRUE
benches,
bend,TRUE
bends,
beneath,
benjamin,
bennetts,
bens,
bent,
berries,
berry,
berryband,
berryland,
berserk,
bert,
berths,
beside,
besides,
bess,
bessy,
best,
bet,TRUE
betsy,
better,
betting,
betty,
bettys,
between,
betwixt,
beware,
bewildered,TRUE
bewitched,TRUE
beyond,
bib,TRUE
bicycle,TRUE
bicycles,
bid,
biddies,
bidding,
bids,
big,
bigger,
biggered,
biggering,
biggest,
bigshot,TRUE
bike,TRUE
bikes,
bill,TRUE
billion,
billions,
billy,
bim,
bimm,
bims,
bin,
binding,
bindings,
bing,TRUE
bingo,
bings,
bins,
biplane,
bipping,
bird,TRUE
birdie,
birds,
birth,TRUE
birthday,
birthdays,
biscuits,TRUE
bit,
bitchy,TRUE
bite,
bites,
biting,
bits,
bitten,
bitter,
bittersweet,
bitty,
bixby,
bizarre,
blaaaze,
blab,
black,TRUE
blackberries,
blackberry,
blackbird,
blackbirds,
blackest,
blacksmith,TRUE
blade,TRUE
blades,
blaggle,
blah,
blame,TRUE
blamed,
blank,
blanket,
blankets,
blares,
blast,TRUE
blasted,
blaze,TRUE
blazes,
blazin,
bleach,TRUE
bleak,TRUE
bleating,TRUE
bleed,TRUE
blended,TRUE
bless,
blessed,
blessings,TRUE
blest,
blew,
blibber,
blind,TRUE
bling,
blink,
blinked,
blinking,
blinks,
blinky,
bliss,
blithe,
blitzen,
blizzard,TRUE
bloath,
block,
blocked,
blocking,
blocks,
blondish,TRUE
blood,TRUE
bloodiness,
bloogs,
bloom,TRUE
bloomed,
blooming,
bloomp,
blossom,TRUE
blossoms,
blotches,TRUE
blouse,TRUE
blow,TRUE
blower,TRUE
blowfish,
blowin,
blowing,
blown,
blows,
blub,
blubber,
blubbers,
blubbery,
blue,
blueberries,
blueberry,
blueish,
blurp,
blurring,TRUE
blurted,TRUE
blushed,TRUE
blustery,
bluub,
bluuub,
bluuuub,
bluuuue,
bluuuuub,
bluuuuuuub,
bly,
bo,
boa,TRUE
boar,
board,TRUE
boarded,
boards,
boars,
boast,TRUE
boasting,
boat,TRUE
boats,
bob,TRUE
bobbed,
bobbin,
bobby,
bobo,
bodies,
body,TRUE
bodyguard,TRUE
bofa,
bog,TRUE
boggen,
boil,TRUE
boiled,
boiler,
boiling,
bold,TRUE
boldero,
bolin,
bolted,TRUE
bomb,TRUE
bombay,
bombers,TRUE
bombs,
bon,
bone,TRUE
boneless,
bones,
bonfire,TRUE
bonk,TRUE
bonner,
bonnet,TRUE
bonnie,
bonny,
boo,
boogie,
boogied,
boohoo,
book,TRUE
bookish,
books,
bookshelf,TRUE
bookshop,TRUE
bookstore,TRUE
boom,TRUE
boomberry,
boomed,
booms,
boon,TRUE
booth,TRUE
boots,TRUE
bop,TRUE
bopperville,
border,TRUE
bore,TRUE
bored,
boring,
born,
borrow,TRUE
borrowed,
boss,TRUE
bossy,TRUE
boston,
both,
bother,TRUE
bothered,
bothering,
bottle,TRUE
bottled,
bottlenose,
bottles,
bottom,
bottomed,
bottoms,
bough,
bought,
boulder,
boulders,
bounce,TRUE
bounced,
bouncing,
bouncy,TRUE
bound,TRUE
bounded,
bounding,
bouquet,TRUE
bout,
bow,
bowed,
bowing,
bowl,
bowling,
bowls,
bows,
box,TRUE
boxcar,
boxcars,
boxes,
boy,
boys,
boysenberry,
br,
braids,TRUE
brain,
brains,
brainy,
brake,TRUE
brakes,
braking,
bramble,
brambles,
branch,TRUE
branches,
brand,TRUE
brandy,
brandywine,
brass,
brassberry,
brave,TRUE
braved,
bravely,
bravo,
bray,TRUE
brayed,
braying,
brazil,
bread,TRUE
breaded,
break,
breakdown,
breakfast,
breakfasts,
breaking,
breaks,
breast,TRUE
breath,TRUE
breathe,TRUE
breathed,
breathing,
breathless,
breeches,TRUE
breeze,TRUE
brew,TRUE
brewed,
brick,
brickbats,
brickle,
bricks,
bridal,
bride,TRUE
bridge,TRUE
bridges,
bridging,
bridle,
brief,TRUE
brier,
bright,TRUE
brighten,TRUE
brightened,
brightens,
brighter,
brightest,
brightly,
brilliant,
brilliantly,
brillo,
bring,
bringing,
brings,
briskly,TRUE
bristles,TRUE
bristling,
bristol,
brittle,
broad,TRUE
broccoli,
broke,
broken,
brontosauri,
brontosaurus,
brook,
brooks,
broom,
brooms,
broth,
brother,
brotherhood,
brothers,
brought,
brown,
brownish,
brrm,
bruin,
bruins,
bruised,TRUE
brunch,
bruno,
brush,
brushed,
brushes,
brushing,
brussel,
bs,
bubble,
bubbled,
bubbles,
bubbling,
bucket,
bucketful,
buckets,
buckle,TRUE
buckled,
buckles,
bucks,TRUE
bud,TRUE
budded,
buddy,TRUE
budge,TRUE
buds,
buffalo,TRUE
buffers,TRUE
bug,
bugged,
buggies,
bugging,
buggy,
bugs,
build,
building,
buildings,
builds,
built,
bulb,
bulbs,
bulging,TRUE
bulky,TRUE
bull,TRUE
bulldog,TRUE
bulldozer,TRUE
bullet,
bullets,
bullfinch,
bullring,
bulls,
bum,TRUE
bumble,TRUE
bumblebee,
bumblebees,
bumbling,
bump,TRUE
bumped,
bumperman,
bumpers,TRUE
bumpety,
bumpity,
bumps,
bumpy,
bun,
bunch,TRUE
bungle,
bunk,TRUE
bunks,
bunnies,
bunnn,
bunny,
buns,
bunting,TRUE
bunyan,
bur,
bureau,TRUE
burial,TRUE
buried,
burned,TRUE
burnie,
burns,
burnt,
burp,TRUE
burped,
burps,
burrow,TRUE
burrows,
burst,TRUE
bursting,
bury,TRUE
bus,TRUE
buses,
bush,
bushel,
bushels,
bushes,
busily,
business,
businesses,
bust,TRUE
busted,
buster,
busters,
busy,TRUE
but,
butpresto,
butt,TRUE
butter,
buttercream,
buttered,
butterflies,
butterfly,
butterfy,
butterscotch,
butting,
button,TRUE
buttoned,
buttons,
buxbaum,
buy,
buyer,TRUE
buying,
buys,
buzz,TRUE
buzzing,
by,
bye,
c,
cab,TRUE
cabbages,TRUE
cabin,TRUE
caboose,
cackle,TRUE
cadet,
cadets,
caesars,TRUE
café,TRUE
cage,TRUE
caged,
cake,
caked,
cakefree,
cakes,
calendar,TRUE
calf,
california,
call,
called,
callin,
calling,
calls,
calm,TRUE
calmed,
calmity,
calves,
cam,
came,
camel,
camels,
camilla,
camillas,
camp,
camped,
camper,
campers,
campfire,TRUE
camping,
campsite,
can,TRUE
canada,
canals,TRUE
canary,TRUE
candied,
candies,
candle,
candles,
candlestick,TRUE
candy,
cane,TRUE
cannibals,TRUE
canning,
cannon,
cannons,
cannot,
canoe,TRUE
canoeberry,
cans,
cant,
canteen,TRUE
canter,TRUE
canvas,TRUE
cap,TRUE
capable,
cape,TRUE
caper,
capital,TRUE
capitan,
caps,
captain,
captains,
captivated,TRUE
captive,
captured,TRUE
car,
caramel,
card,TRUE
cardboard,
cards,
care,
cared,
career,
careers,
careful,
carefully,
carelessly,TRUE
cares,
cargo,
caribbean,
caried,
caring,
carl,
carle,
carles,
carnation,
carol,
carols,
carp,
carpenter,
carpet,
carpets,
carriage,
carriages,
carrie,
carried,
carrier,
carries,
carrion,
carrot,
carrotcar,
carrots,
carry,
carrying,
carryings,
cars,
cart,TRUE
carton,TRUE
cartoons,TRUE
carved,TRUE
carving,
case,TRUE
cast,TRUE
castle,
castles,
casts,
cat,
catalog,
catalogues,
catch,
catches,
catching,
caterpillar,TRUE
catherines,
catnip,
cats,
catsandratsandelephants,
cattle,
caught,
cauldron,TRUE
cause,TRUE
caused,
caution,TRUE
cautioned,
cautiously,TRUE
cave,TRUE
cavin,
caving,
cavort,
caw,
cc,
cease,TRUE
ceased,
ceasing,
ceiling,
ceilings,
celebrate,TRUE
celebrated,
celebrating,
celebration,
celery,
celeste,
cellar,
cellars,
cellophane,
cement,TRUE
cent,
center,
centers,
cents,
cereal,
ceremony,TRUE
certain,
certainly,
cest,
cha,
chain,TRUE
chains,
chair,
chairs,
chalk,TRUE
chalks,
challah,
chamber,TRUE
chamomile,
champ,TRUE
champion,TRUE
championing,
championship,TRUE
chance,TRUE
chanced,
chances,
chandeliers,TRUE
chang,
change,
changed,
changes,
changin,
changing,
channel,TRUE
channels,
chanted,TRUE
chanting,
chap,TRUE
chapel,TRUE
character,TRUE
charades,TRUE
charge,TRUE
charged,
chari,
charles,
charley,
charlie,
charms,TRUE
chart,TRUE
chase,
chased,
chases,
chasing,
chat,TRUE
chats,
chatter,
chattered,
chattering,
chatting,
chauffeur,TRUE
cheap,TRUE
cheat,TRUE
check,
checked,
checkerboard,TRUE
checkers,
checking,
checkout,
checks,
checkup,
cheek,
cheeked,
cheekily,
cheeks,
cheeky,
cheep,
cheer,TRUE
cheered,
cheerful,TRUE
cheeries,
cheerily,
cheering,
cheers,
cheery,
cheese,TRUE
cheeseburger,
cheeseburgers,
cheesy,
chef,TRUE
chemical,TRUE
cherish,TRUE
cherished,
cherries,
cherry,
chess,
chest,
chester,
chests,
chew,TRUE
chewandswallow,
chewed,
chewing,
chewy,
chica,
chicago,
chick,
chicka,
chicken,
chickens,
chickie,
chicks,
chid,
chief,
chiefs,
child,
childhood,
children,
childrens,
chilled,
chills,
chilly,
chimney,
chimneys,
chimpanzees,TRUE
chimps,TRUE
chin,TRUE
china,
chinaware,
chinese,
chinny,
chip,TRUE
chipped,
chips,
chiroptera,
chirp,TRUE
chirped,
chirping,
chirruped,TRUE
chitter,TRUE
chocolate,TRUE
choice,TRUE
choke,TRUE
choking,
chomp,TRUE
choo,
chooooooo,
choose,
chooses,
choosing,
chop,
choppa,
chopped,
chopper,TRUE
choppin,
chopping,
chops,
chopsticks,
chore,
chores,
chose,
chosen,
christened,TRUE
christmas,
christopher,
chrysanthemum,
chrysanthemums,
chuckled,TRUE
chud,
chug,TRUE
chugga,
chugging,
chuggsa,
chugs,
chum,
chunks,TRUE
chunky,
church,
churches,
churn,TRUE
churning,
chute,TRUE
cider,
cigar,TRUE
cinderella,
cinders,TRUE
cinderumpelstiltskin,
cinnamon,
circle,
circled,
circles,
circling,
circulation,TRUE
circus,
cities,
city,
civil,
civilian,TRUE
clack,TRUE
clackberry,
claimed,TRUE
claims,
clair,
claire,
clam,TRUE
clambered,TRUE
clancy,
clang,TRUE
clanged,
clank,TRUE
clanking,
clap,TRUE
clapped,
clapping,
clara,
clarabel,
clarinets,TRUE
clark,
clasped,TRUE
class,TRUE
classified,TRUE
classmates,TRUE
classroom,TRUE
clattered,TRUE
clatterin,
clatters,
claudette,
claus,
clauss,
clavel,
claw,TRUE
clawed,
claws,
clay,
clean,TRUE
cleaned,
cleaner,TRUE
cleaning,
clear,
cleared,
clearing,
clearly,
clears,
clergyman,
clerk,TRUE
clever,
cleverly,
click,TRUE
clickety,
cliff,TRUE
clifford,
climate,
climates,
climb,
climbed,
climber,TRUE
climbing,
climbs,
cling,TRUE
clink,TRUE
clipped,TRUE
cloak,TRUE
clock,
clocks,
clomped,TRUE
close,
closed,
closely,
closer,
closest,
closet,
closets,
closing,
cloth,TRUE
clothe,
clothed,
clothes,
clothesline,
clothing,
cloud,
cloudberry,
clouds,
cloudy,
clover,
clovers,
clown,TRUE
clowns,
club,TRUE
clubhouse,
clubs,
cluck,TRUE
clucked,
clucking,
clue,TRUE
clump,TRUE
clumps,
clumsy,TRUE
clung,
clunk,
clutch,TRUE
clutched,
clutching,
clutters,TRUE
clyde,
cmon,
co,
coach,
coaches,
coachman,
coal,
coals,
coast,TRUE
coastal,
coaster,
coasting,
coat,TRUE
coated,
coats,
coaxed,TRUE
coaxing,
cobblers,TRUE
cobwebs,TRUE
cock,
cockadoodledoo,
cockatoos,TRUE
cocked,
cockle,
cocks,
cocky,
cocoa,
coconut,TRUE
cocoon,TRUE
code,TRUE
codlins,
coffee,
coffin,TRUE
cohn,
coil,TRUE
coin,TRUE
cold,
colder,TRUE
cole,
collapsed,TRUE
collapsing,
collar,TRUE
collect,TRUE
collected,
collecting,
collection,TRUE
collector,TRUE
college,TRUE
color,
colored,
colorful,
coloring,
colors,
colt,
colts,
columbus,
colvin,
comb,
combed,
combing,
combs,
come,
comedians,TRUE
comes,
comet,TRUE
comfits,
comfort,TRUE
comfortable,
comfortably,
comforting,
comfy,
comic,TRUE
comical,
comin,
coming,
command,TRUE
commanded,
comment,TRUE
committed,TRUE
common,
commuter,TRUE
company,TRUE
compare,TRUE
compared,
compartment,TRUE
compelling,TRUE
competition,TRUE
complain,TRUE
complained,
complaining,
complete,TRUE
completely,
compliment,TRUE
composed,TRUE
compote,
computer,TRUE
concern,TRUE
concertina,
concertinas,
concluded,TRUE
concrete,
conditions,TRUE
conductor,
conductors,
cone,
cones,
confess,TRUE
confetti,
confused,TRUE
confusing,
congratulate,TRUE
congratulated,
congratulations,TRUE
consent,TRUE
conservatory,TRUE
consider,TRUE
considerate,
considered,
considering,
consisted,TRUE
constable,TRUE
constant,TRUE
constantly,
constrictor,TRUE
construction,TRUE
contagious,
container,
containers,
contains,TRUE
content,
contents,
continue,
continued,
continues,
contract,TRUE
contrary,
contrive,TRUE
controller,TRUE
conversation,TRUE
conveys,TRUE
convinced,TRUE
coo,
cood,
cook,
cooked,
cookie,
cookies,
cooking,
cooks,
cool,TRUE
cooled,
cooley,
coombs,
coop,TRUE
coordinate,TRUE
coos,
cooties,
copenhagen,
copies,
copper,
cops,TRUE
copy,TRUE
copying,
coral,
cord,TRUE
corduroy,
corduroys,
cork,
corks,
corn,
cornelius,
corner,TRUE
corners,
coronation,
correct,TRUE
cost,
costs,
costume,
costumes,
cot,TRUE
cottage,TRUE
cotton,
cottontail,
cottonwood,
couch,TRUE
cough,
coughed,
coughing,
coughs,
could,
couldnt,
count,
counted,
counter,TRUE
counting,
countless,
countries,
country,
countryside,TRUE
counts,
county,TRUE
coupe,TRUE
couple,TRUE
coupled,
coupling,
couplings,
coupon,TRUE
courage,
course,TRUE
court,TRUE
courtesy,
courthouse,
courting,
courtly,
courts,
cousin,
cousins,
cover,
covered,
covering,
covers,
cow,
cowardly,TRUE
cowboy,TRUE
cowgirl,TRUE
cows,
cozy,TRUE
crab,
crabs,
crabtree,
crack,TRUE
crackabone,
crackd,
cracked,
crackers,TRUE
crackle,TRUE
cracks,
cradle,TRUE
craft,
crammed,TRUE
cranberry,TRUE
crane,TRUE
cranes,
crank,TRUE
cranky,
crash,TRUE
crashed,
crashes,
crass,
crawl,TRUE
crawled,
crawler,TRUE
crawls,
crawly,
crayon,
crayons,
crayonscheck,
craze,TRUE
crazy,
creak,TRUE
creaking,
creaky,
cream,
creams,
creamy,
created,TRUE
creating,
creations,TRUE
creatively,TRUE
creativity,
creature,
creatures,
credit,TRUE
creeak,
creeeak,
creeeeak,
creek,TRUE
creep,
creeping,
creeps,
crept,
crew,TRUE
crib,TRUE
cricket,
crickets,
cried,
cries,
crime,
crimes,
crimson,
crinkly,TRUE
crippled,TRUE
crisp,
crispy,
crisscross,
croak,TRUE
croaked,
crocodile,
crocodiles,
crocus,
crook,TRUE
crooked,
crookedly,
crooned,TRUE
cross,
crossed,
crosses,
crossing,
crossly,
crosstown,TRUE
crow,TRUE
crowd,TRUE
crowded,
crowed,
crown,TRUE
crowns,
crows,
crrrunch,
cruddy,
crude,TRUE
cruffulous,
crullers,
crumb,
crumble,TRUE
crumbs,
crummies,
crumpled,TRUE
crunch,TRUE
crunched,
crunchy,
crushed,TRUE
crusher,
crushers,
crushes,
crushing,
crusoe,
crust,TRUE
crusts,
cry,
cryin,
crying,
crystal,
crystals,
cub,
cubby,TRUE
cubs,
cuckoo,TRUE
cuckood,
cucumber,
cucumbers,
cuddle,TRUE
cuddled,
cuddles,
cuddly,
cultural,TRUE
cultures,TRUE
cunning,TRUE
cup,TRUE
cupboard,
cupboards,
cupcake,TRUE
cupid,
cupped,
cups,
curb,TRUE
curdled,TRUE
curds,TRUE
cure,TRUE
cured,
curious,
curiously,
curl,TRUE
curled,
curls,
curly,
currant,
curse,TRUE
cursed,
curtain,
curtains,
curtsy,
curve,TRUE
curved,
curves,
curvy,
cushion,TRUE
cushy,
custard,
custom,TRUE
customers,TRUE
cut,
cute,
cutery,
cutlet,
cutlets,
cuts,
cutter,TRUE
cutting,
cycle,TRUE
cyclops,
cymbals,TRUE
cynthia,
cyril,
d,
da,
dabbed,TRUE
dad,
daddie,
daddies,
daddy,
daddys,
dads,
daffing,
daffodils,TRUE
daffy,
dah,
daily,
daintiest,
daintily,
dainty,
dairy,
daisies,
daisy,
dake,
dakota,
dam,
damage,TRUE
damaged,
dame,
damp,
dan,
dance,
danced,
dancer,
dancers,
dances,
dancin,
dancing,
dandelion,TRUE
dander,
dandy,
danger,TRUE
dangerous,TRUE
dank,
danton,
dapple,
dare,
dared,
dares,
daring,
darington,
dark,
darked,
darkened,TRUE
darkening,
darker,
darkest,
darkness,
darling,
darlington,
darn,
darting,TRUE
dash,TRUE
dashed,
dashing,
dates,TRUE
daughter,
daughters,
dave,
davey,
david,
davids,
daw,
dawdle,
dawn,
dawson,
day,
daylight,
days,
daytime,
dazed,TRUE
dd,
de,
dead,
deaf,
deafblindness,
deafening,TRUE
deal,TRUE
dealer,TRUE
dear,
dearest,
dearie,
dearly,
dears,
deary,
death,TRUE
deceit,
december,
decide,
decided,
decides,
deciding,
decision,TRUE
deck,
decker,
decks,
declared,TRUE
declares,
decorate,TRUE
decorations,TRUE
ded,
dedicate,TRUE
dee,
deed,
deeds,
deep,
deeper,TRUE
deeply,
deer,
definitely,
deft,
delicate,TRUE
delicious,
delight,TRUE
delighted,
delirious,
delish,
deliver,
delivered,
delivering,
delivers,
delivery,TRUE
dellar,
delphinium,
deluxe,
delve,TRUE
demand,TRUE
demanded,
demonstrated,TRUE
den,
denise,
denmark,
dentist,
dentists,
dep,
depart,TRUE
department,TRUE
depend,TRUE
dependable,
depends,
depressing,TRUE
dept,
derby,
descended,TRUE
describe,TRUE
described,
describes,
desert,TRUE
deserted,
deserts,
deserved,TRUE
deserves,
deserving,
design,TRUE
desire,TRUE
desist,TRUE
desk,
desks,
despair,TRUE
despaired,
desperate,
desperately,
despite,
desser,
dessert,TRUE
destination,TRUE
destined,TRUE
detail,TRUE
detective,TRUE
detergent,TRUE
determined,TRUE
detest,TRUE
develop,TRUE
deviled,
devilish,
devils,TRUE
devoured,TRUE
dew,
dewdrops,TRUE
dexterous,
di,
diabetes,
dial,TRUE
dialed,
dials,
diamond,
diamonds,
diaper,
diapers,
dibble,TRUE
dick,TRUE
dickery,
dickory,
dicky,
dictionary,TRUE
did,
diddle,TRUE
didnt,
die,
died,
dies,
diesel,
diet,TRUE
difference,TRUE
different,
differently,
difficult,TRUE
dig,
digger,
diggers,
diggin,
digging,
dignified,TRUE
digs,
diller,
dilly,
dim,
dimes,TRUE
dims,
dine,TRUE
diner,TRUE
dines,
ding,TRUE
dingo,
dingy,
dining,
dinkety,
dinner,
dinners,
dinosaur,
dinosaurs,
dip,TRUE
direct,TRUE
directed,
direction,
directions,
directly,
dirt,
dirtier,
dirtiest,
dirty,
dis,
disabilities,TRUE
disap,
disappear,TRUE
disappeared,
disappearing,
disappointed,TRUE
disappointment,
disaster,TRUE
discontented,TRUE
discouraged,TRUE
discov,
discover,TRUE
discovered,
discuss,TRUE
discussed,
disguise,TRUE
disguised,
disgust,TRUE
disgusting,
dish,TRUE
dishes,
dishy,
disks,TRUE
disobeyed,TRUE
display,TRUE
displeased,TRUE
displeasing,
distance,TRUE
distant,TRUE
distinguished,TRUE
distraction,TRUE
distressed,
distribute,TRUE
disturb,TRUE
disturbed,
ditch,TRUE
ditches,
dither,
ditty,
diva,TRUE
dive,TRUE
dived,
diver,
divers,
divided,TRUE
dividing,
divine,
diving,
division,TRUE
divvy,
dizziness,
dizzy,
do,
dob,
doc,
dock,TRUE
doctor,
doctors,
dodging,TRUE
does,
doesnt,
doffed,TRUE
dog,
doggie,
doggies,
doggy,
dogs,
doily,
doing,
dokey,
dollar,
dollars,
dollhouse,TRUE
dolls,TRUE
dolly,
dollys,
